ID	log2FC_SigInv
XM_027378495.1	-6.90479255091507
XM_027373339.1	-7.94120833196987
XM_027373319.1	-7.98790670517509
XM_027357161.1	-6.00530253081528
XM_027373317.1	-8.1274259636452
XM_027371492.1	-14.8356626411925
XM_027355909.1	-7.95571932989542
XM_027372676.1	-9.27577679867278
XM_027354137.1	-13.1400026269608
XM_027356793.1	-4.31641324616203
XM_027373324.1	-7.39701320274282
XM_027371539.1	-12.3282054756593
XM_027381957.1	-6.31431555062189
XR_003476993.1	-11.6530488148461
XM_027381865.1	-6.32561387077389
XM_027371537.1	-11.8945347078792
XM_027367206.1	-12.8308140381676
XM_027371495.1	-11.5010475961076
XM_027356800.1	-8.02851426639215
XM_027367205.1	-12.395437288057
XM_027363212.1	-5.30162729144171
XM_027365741.1	-10.7975871695685
XM_027370936.1	-13.8662636866918
XM_027365880.1	-10.6186977447622
XR_003476994.1	-13.7382062952787
XM_027373334.1	-7.93935629859947
XM_027354135.1	-14.8382309542734
XM_027358624.1	-5.78906028844713
XM_027373338.1	-8.24104878876882
XM_027361441.1	-9.30803217669116
XM_027365867.1	-11.6249286500721
XM_027381866.1	-5.31059579547797
XM_027356797.1	-6.77069671968167
XM_027354939.1	-5.34123979361996
XM_027362845.1	-10.6997162303901
XM_027373323.1	-7.40012415603514
XM_027356692.1	-9.0784740971743
XM_027375603.1	-8.08407947358342
XM_027365655.1	-8.99359177148465
XM_027373318.1	-7.85677156489341
XM_027383660.1	-10.1470420407176
XM_027354940.1	-5.38437050857429
XM_027354132.1	-11.0731668553692
XM_027378125.1	-15.0054698752181
XR_003476575.1	-11.4843723751892
XM_027381854.1	-6.62109318425229
XM_027373322.1	-7.61473282859353
XM_027373312.1	-8.35242277235855
XM_027373333.1	-7.9660343745106
XM_027357870.1	-3.96754667538094
XM_027365681.1	-9.64097648563721
XR_003476212.1	-3.785644337368
XM_027375602.1	-7.72680121929046
XM_027362705.1	-11.7447634269226
XM_027373328.1	-6.83551095557304
XM_027372149.1	-6.40361852353731
XM_027373331.1	-7.96938939768216
XM_027373345.1	-7.6329882375274
XM_027373316.1	-8.20518808644722
XM_027373335.1	-8.1691800053488
XM_027373315.1	-8.00450988425393
XM_027357709.1	-5.47503518326374
XR_003475626.1	-8.86982563248735
XM_027381851.1	-7.51007944771807
XM_027375215.1	-9.51076228421795
XR_003476716.1	-14.1185060802777
XM_027362706.1	-10.6130221672261
XM_027375219.1	-10.7329743290827
XM_027356176.1	-5.62836914375047
XM_027373313.1	-8.14167591084686
XM_027370793.1	-8.56118346766565
XM_027375601.1	-7.91709729173436
XM_027356799.1	-9.25543837686977
XM_027365697.1	-9.63248351973147
XR_003476289.1	-10.9572805954794
XM_027373330.1	-7.90363296849858
XM_027365875.1	-10.8443312367535
XM_027373327.1	-6.56865303782053
XM_027354937.1	-5.45648310563086
XM_027362345.1	-7.7273569879515
XM_027356290.1	-11.8092132248785
XM_027373320.1	-7.57300557053587
XM_027377764.1	-7.03253371279122
XM_027373332.1	-7.84691710530653
XM_027366419.1	-11.7361805237544
XM_027381855.1	-5.85608477314619
XM_027367239.1	-11.1946135578893
XM_027357707.1	-5.51311888888143
XM_027383714.1	-9.49146973026277
XM_027356801.1	-7.77682116607756
XM_027350645.1	-7.30066597798748
XM_027356628.1	-8.92740797251446
XM_027380855.1	6.99971776996442
XM_027358874.1	8.66771468488644
XM_027373325.1	-7.23203446912608
XM_027379467.1	8.46663247152965
XM_027355574.1	8.31104185496195
XM_027373452.1	3.27329529240251
XM_027373774.1	5.52606420837556
XM_027381853.1	-6.74785900952286
XM_027354938.1	-5.38210745067192
XM_027374304.1	8.00279004392845
XM_027377792.1	6.7574855303838
XM_027378808.1	7.47553997156436
XM_027377734.1	7.30505101103579
XM_027381774.1	7.21377253763756
XM_027378319.1	6.62846223991536
XM_027357706.1	-5.64145146796981
XM_027360199.1	7.00514657109974
XM_027365800.1	-9.74509812708398
XM_027357705.1	-5.81449237164575
XM_027353372.1	7.57501355941378
XM_027374011.1	-12.1692870538243
XM_027359304.1	-5.51150642137864
XM_027365037.1	8.58497530911097
XM_027351876.1	4.87668701660779
XM_027361966.1	7.17821922127337
XM_027360590.1	9.79431060148661
XM_027380421.1	7.76785810224476
XM_027378553.1	-11.1649508818555
XM_027361621.1	5.06814074498102
XM_027359213.1	7.80444335544471
XM_027359148.1	-6.55156512040079
XM_027365732.1	8.48072809701068
XM_027370397.1	7.74806375594731
XM_027381656.1	5.64220625262768
XM_027373694.1	5.83446697116342
XM_027372143.1	7.88381654800902
XM_027355671.1	7.66927346729057
XM_027374915.1	6.29063463881807
XM_027361709.1	7.21969943419095
XM_027376560.1	7.95741461941448
XM_027369535.1	7.37859832149254
XM_027355117.1	6.04623588476582
XM_027371914.1	8.1653352291618
XM_027364963.1	7.60932270124843
XM_027365077.1	6.43537643789204
XM_027362539.1	8.62918409812624
XM_027352568.1	7.0418264380709
XM_027378341.1	6.97184064963431
XM_027364397.1	5.75388442069249
XM_027372221.1	7.483627972649
XR_003477734.1	7.69212198701835
XM_027361522.1	6.84477420229631
XM_027373405.1	6.98395233821222
XM_027370852.1	8.25759672981161
XR_003476072.1	7.39272329267239
XM_027360831.1	5.83465124685253
XM_027351790.1	6.06735247217015
XR_003475025.1	7.58749627892725
XM_027358952.1	3.53743013511729
XM_027375910.1	6.06759461118026
XM_027365837.1	7.16149596132162
XR_003476285.1	7.70901448399647
XM_027382395.1	6.33651428491725
XM_027368380.1	6.31539788811316
XM_027378054.1	5.23566064446733
XM_027362059.1	8.51843532885109
XM_027373287.1	7.76679494135851
XM_027351358.1	6.25882609602876
XM_027383047.1	5.49088928283993
XM_027351567.1	7.09244665985576
XM_027365653.1	7.54586089494833
XM_027370156.1	5.4348280686537
XM_027379497.1	3.99297983886749
XM_027377832.1	7.29747355565036
XM_027379757.1	6.67928314356029
XM_027360285.1	4.52217661054314
XM_027375904.1	4.02400507023442
XM_027370937.1	7.83437335045141
XM_027379373.1	6.86088839613859
XM_027378758.1	6.52064870188156
XM_027369687.1	9.03504178654423
XM_027377631.1	6.59692476327552
XM_027369202.1	4.92767517804388
XM_027363323.1	9.43400122530387
XM_027353014.1	6.34126216003699
XM_027362430.1	7.08256568165618
XM_027359429.1	7.66861787161859
XM_027370398.1	5.97286926146194
XM_027371380.1	8.71986021648392
XM_027372253.1	8.1889862961741
XM_027383772.1	3.73354361025649
XM_027373601.1	6.97722351263207
XM_027367184.1	7.03099516559107
XM_027381050.1	6.27434555394872
XM_027369203.1	5.12313822097645
XM_027359178.1	8.67596425016393
XM_027364772.1	7.88461381465195
XM_027374289.1	7.12812615020576
XM_027375361.1	5.16301363987655
XM_027352166.1	8.24270260559206
XM_027360143.1	6.87611464178355
XM_027381490.1	6.93283834601782
XM_027371220.1	6.25615397880603
XM_027370268.1	7.36193694644397
XM_027352133.1	7.59248181863772
XM_027367363.1	6.3174816714363
XM_027377312.1	7.13857945004835
XM_027364398.1	5.79559991457331
XM_027356845.1	6.08425572758762
XM_027368290.1	6.17614892920549
XM_027382371.1	8.46998661817065
XM_027375280.1	6.14152374261038
XM_027371209.1	7.08671856923934
XM_027361198.1	4.72169345894455
XM_027367933.1	1.49633626309453
XM_027379312.1	7.52304315628544
XM_027367611.1	6.42669865962781
XM_027378289.1	7.79430976740002
XM_027381556.1	5.19673050336694
XM_027379514.1	8.29406523209208
XM_027368072.1	3.61817752460581
XM_027369550.1	8.77969347749458
XM_027357493.1	8.83050170374678
XM_027367361.1	6.35039251690779
XM_027367937.1	1.83310965840199
XM_027357843.1	8.22025416410647
XM_027362493.1	7.4448426749616
XM_027362757.1	7.59006624279464
XM_027380023.1	8.53054853636764
XM_027380856.1	7.97204179805292
XM_027383792.1	6.3702703876482
XM_027365450.1	8.04038657023807
XM_027354094.1	7.02156001279506
XM_027363523.1	3.56965730367831
XM_027365593.1	7.28754646330618
XM_027378572.1	-2.59369238797187
XM_027378755.1	7.57633984888925
XM_027365375.1	7.50077474831371
XM_027350921.1	6.74938669069781
XM_027383790.1	8.0176642452466
XM_027382688.1	6.735734779141
XM_027377219.1	7.51449049411153
XM_027373607.1	4.56697973875064
XM_027356816.1	7.17119641535336
XM_027379121.1	5.67944609391689
XM_027363943.1	7.1374740695344
XM_027369504.1	5.22063258338287
XM_027376559.1	8.87459307479079
XM_027379230.1	7.43449868078669
XM_027381129.1	7.90500295489237
XM_027364268.1	5.77971023094547
XR_003476992.1	-11.1695949934315
XM_027359233.1	7.89164012364287
XM_027357752.1	7.50297168436141
XM_027363415.1	7.80737519049872
XM_027371208.1	6.50402991461726
XM_027363950.1	8.73915206265831
XM_027356123.1	7.87750255959115
XM_027371682.1	1.7565740323495
XM_027354784.1	6.30085200369066
XM_027372150.1	7.44096894720083
XM_027361739.1	6.83604677484926
XM_027379069.1	7.66458023333292
XM_027360795.1	9.79498616511765
XM_027360743.1	6.11621076223188
XM_027382177.1	4.18906192740424
XM_027383682.1	8.18652997587115
XM_027362687.1	7.48118041821119
XM_027362347.1	7.32005076053315
XR_003475608.1	6.66524520205667
XM_027375911.1	6.14752837348769
XM_027355587.1	7.52954886353604
XM_027374914.1	6.24248227719562
XM_027373695.1	6.18246443442306
XM_027379525.1	7.40307262775529
XM_027379172.1	6.37940802977797
XM_027358803.1	6.48336423949259
XM_027361679.1	8.27779627255266
XM_027353695.1	8.05141734819407
XM_027381890.1	6.26915182874017
XM_027379261.1	6.99503344161798
XM_027360830.1	7.80021686989825
XM_027369089.1	7.46732497678007
XM_027364827.1	7.0896856961533
XM_027369731.1	-15.223439898909
XM_027352709.1	5.87980284734043
XM_027361690.1	9.13946322080182
XM_027376387.1	7.16741989345273
XM_027350630.1	7.88065980785993
XM_027381025.1	7.1931681551652
XM_027377205.1	7.73238002857959
XM_027367711.1	5.23537527246428
XM_027362115.1	8.61146336352566
XM_027351488.1	7.42403318250749
XM_027381073.1	6.78132246530335
XM_027358234.1	7.58388579704839
XM_027380507.1	5.75387162516923
XM_027377147.1	4.97910766226366
XM_027364075.1	3.27723372805397
XM_027359031.1	7.64960656338022
XM_027378227.1	6.8684676805233
XM_027363303.1	6.28620868906144
XM_027361468.1	6.37851562994092
XM_027351948.1	7.68376269640485
XM_027358966.1	7.26579523267393
XM_027381845.1	7.18981217473314
XM_027355483.1	7.64066458228287
XM_027370881.1	5.74328505798937
XM_027381554.1	5.15119294539653
XM_027371186.1	2.20022621286398
XM_027374905.1	5.74141991622625
XM_027372204.1	6.05443048664812
XM_027372105.1	5.98046882379531
XM_027367360.1	6.32303248545431
XM_027365834.1	6.531463246585
XM_027376438.1	7.17399271915168
XM_027359427.1	7.40855191056253
XM_027376858.1	7.60645516110289
XM_027380544.1	6.87197650253139
XM_027371250.1	6.79349667287295
XM_027364076.1	3.33549772793128
XM_027351203.1	8.57233015736539
XM_027383784.1	8.75763668928168
XM_027352701.1	7.52156428585443
XM_027380521.1	7.31252225814784
XM_027352708.1	2.62768419501328
XM_027380997.1	7.7205786575365
XM_027360791.1	9.52924781445331
XM_027351143.1	7.70324732363848
XM_027373401.1	7.65092484174182
XM_027377199.1	7.37030007495857
XM_027368855.1	6.08018869849497
XR_003477669.1	7.05628844555195
XM_027378869.1	7.31703821096474
XM_027381512.1	7.21478358548477
XM_027375764.1	7.8643850126465
XM_027374474.1	7.44984251822226
XM_027350765.1	7.0465925612344
XM_027381891.1	6.0457655889217
XM_027369412.1	5.75401438642881
XR_003475695.1	8.66714368751716
XM_027374536.1	6.9999638714595
XM_027354923.1	8.89625311928579
XM_027362890.1	5.32121181680137
XM_027376550.1	8.77163073397712
XM_027351204.1	2.42756612550807
XM_027368999.1	7.28806437035937
XM_027374645.1	5.65529837749845
XM_027373693.1	7.57084527301
XM_027376216.1	1.8821665031358
XR_003475561.1	8.22848564245324
XM_027364535.1	4.61920149716751
XM_027369556.1	7.94375602754112
XM_027373440.1	7.56047775702576
XM_027366577.1	6.60017748274233
XM_027364964.1	7.78852670768208
XM_027363321.1	7.18662669215005
XM_027360936.1	3.11609469221507
XM_027375106.1	8.33635986285854
XM_027356828.1	6.59831686849648
XM_027359753.1	6.68691753316032
XM_027381002.1	9.11294220402399
XM_027367369.1	5.87866343406568
XM_027381966.1	6.65510100475739
XM_027375284.1	5.63567949909397
XR_003476507.1	7.68589633203341
XM_027375907.1	8.30059238115173
XM_027368407.1	4.94431711549738
XM_027380068.1	6.83234603941539
XM_027352480.1	7.39704115095456
XM_027364689.1	2.88190579150848
XM_027354676.1	7.50030197771663
XR_003475415.1	4.39612469446549
XM_027351369.1	7.22196448263275
XM_027356775.1	7.1095760679597
XM_027374285.1	7.29525421824635
XM_027362412.1	6.80408071771787
XM_027350933.1	7.77188307085336
XM_027382096.1	7.72131682591972
XM_027359231.1	7.88103348164485
XM_027380552.1	8.34258176035012
XM_027378798.1	5.80958169555105
XM_027367209.1	6.52958313735973
XM_027350644.1	-7.28947884015784
XM_027383261.1	7.4273282168123
XM_027377227.1	7.29020606298844
XM_027366532.1	6.62681008639437
XM_027374921.1	7.64449716362592
XM_027357078.1	7.59281236111827
XM_027366268.1	8.95497246734848
XM_027379742.1	6.8719589045497
XM_027373750.1	4.19657101913886
XM_027361190.1	7.38072707393053
XM_027368383.1	6.12972319105344
XM_027376430.1	7.13114432862092
XM_027383550.1	7.02869890804875
XM_027382392.1	6.15571727173119
XM_027371450.1	7.83440712132307
XM_027381841.1	7.9325357113552
XM_027364349.1	7.9386502289824
XM_027368825.1	6.02932552966517
XM_027375348.1	5.18195275045402
XM_027359230.1	6.99536515352428
XM_027356769.1	6.5124699592715
XM_027366267.1	7.25663084135031
XM_027363970.1	7.58204311620635
XM_027363590.1	7.76261687845476
XM_027367362.1	6.27616413855512
XM_027367017.1	2.09984043389197
XM_027352012.1	5.80567352863005
XM_027382805.1	5.17762126621962
XM_027363297.1	7.9803056929212
XM_027375421.1	6.7530849497286
XM_027376864.1	6.92415920838125
XM_027379199.1	7.2846484567814
XR_003477373.1	7.5383219065434
XM_027373398.1	7.68665428986767
XM_027377235.1	7.12154808174764
XM_027369773.1	7.27978477196943
XM_027371818.1	7.86607592858173
XM_027366439.1	7.17264865937412
XR_003477585.1	7.66409166544411
XM_027363473.1	5.78711674119204
XM_027365747.1	-11.1953265083008
XR_003477374.1	7.48193734530649
XM_027354910.1	6.39921492577522
XM_027378388.1	6.84070174881967
XM_027351187.1	6.74534435399968
XM_027361876.1	2.16778749815215
XM_027356413.1	7.07858449623989
XM_027375218.1	-10.1548242605526
XM_027366081.1	6.2333503657398
XM_027377453.1	7.55328872422198
XM_027377389.1	7.33307395385392
XM_027352542.1	3.33398890945707
XM_027366409.1	4.56508133324954
XM_027375830.1	7.80208860423487
XM_027373329.1	-6.40341079236202
XM_027365464.1	7.83463593355633
XM_027359269.1	6.54834175341569
XM_027377990.1	6.84321311792652
XM_027353422.1	6.15050309408674
XM_027361625.1	7.20392890953062
XM_027382094.1	7.33704340268454
XM_027373829.1	6.96183657169876
XM_027375281.1	6.22556062467165
XM_027368870.1	4.4730052916034
XM_027374869.1	6.02232456279988
XM_027374373.1	7.50893807592025
XM_027372496.1	5.72183223347356
XM_027360881.1	4.61624242124301
XM_027363789.1	6.85777341428143
XM_027357694.1	7.88546823469705
XM_027380064.1	8.38453597314055
XM_027373642.1	7.22204093469473
XM_027379068.1	7.73354459749826
XM_027376863.1	7.04229565949521
XM_027380409.1	8.64332359294892
XM_027362057.1	8.15153761885618
XM_027381655.1	6.50391888064916
XM_027379201.1	7.3450930437695
XM_027381509.1	7.08460552266307
XM_027369290.1	7.1875262999283
XM_027365374.1	8.10657907229472
XR_003477442.1	8.90820540376273
XR_003475003.1	6.68840270572401
XM_027365203.1	7.74533607357171
XM_027362113.1	7.65625700385876
XM_027358146.1	5.99388903200008
XM_027361791.1	8.20749691186917
XM_027353848.1	5.27881883695279
XM_027367821.1	7.11291200940089
XM_027353693.1	8.24717321355555
XM_027375136.1	8.77389315419539
XM_027362108.1	5.63460414053264
XM_027369645.1	7.29863092709529
XM_027353719.1	7.51917145525466
XM_027382130.1	5.09824748868127
XM_027364953.1	1.44619762099994
XM_027354925.1	6.86268273592598
XM_027381918.1	6.46103540601651
XM_027365162.1	7.49022696267755
XM_027362510.1	5.16071147939244
XM_027374916.1	6.61144942336174
XM_027379810.1	7.42401378808838
XR_003475583.1	7.13465664996328
XM_027358343.1	5.86868679967496
XM_027383335.1	5.58449087273544
XM_027372718.1	6.06794460266906
XM_027379260.1	6.76350927858467
XM_027355187.1	-6.31006886930409
XM_027363559.1	-7.86425852034802
XM_027371503.1	-12.7274680044335
XM_027381427.1	3.83521168468979
XM_027362346.1	7.18671548320937
XM_027373880.1	7.94280445998314
XM_027380016.1	8.58152899374135
XM_027364935.1	7.61648203068859
XM_027373795.1	7.18636496861886
XM_027363561.1	-7.77799904500412
XM_027381365.1	5.09314382243747
XM_027363247.1	3.83717671073257
XM_027351613.1	6.21908068309269
XM_027350757.1	3.05174186335612
XM_027378438.1	7.20092446104264
XM_027351627.1	7.30776273383488
XM_027358885.1	7.71787591210918
XM_027366019.1	7.68008955016239
XR_003476759.1	6.10502693414276
XM_027373383.1	-7.80097266637797
XM_027380041.1	7.654584963448
XM_027365705.1	-7.1694141154966
XM_027357574.1	5.55279889454215
XM_027369236.1	6.15959929554004
XR_003476287.1	-10.5275777351414
XM_027377989.1	7.01692352883246
XM_027355361.1	6.43057650997098
XM_027381963.1	8.53129665740757
XM_027368547.1	4.52970534551181
XM_027379064.1	7.18397285155446
XM_027380298.1	6.47390875792893
XM_027370834.1	6.61117535434338
XM_027353499.1	6.66986249569577
XM_027377164.1	6.99174600520189
XM_027382253.1	5.8763649717217
XM_027365675.1	-9.91273958178237
XM_027365362.1	8.50055612916529
XM_027367458.1	7.85260266290005
XM_027359935.1	5.10746193250521
XM_027365360.1	6.82362952902222
XM_027374995.1	7.17094079932258
XM_027353309.1	7.09644221013244
XM_027358518.1	5.78140620628134
XM_027379364.1	8.09578630170862
XM_027351851.1	5.47250718505519
XM_027376844.1	6.85637051260168
XM_027379428.1	7.2014019149192
XM_027357643.1	3.42088218897887
XM_027369005.1	4.14491148709576
XM_027362142.1	5.87024623820895
XM_027369596.1	6.37182393266923
XM_027373399.1	7.88802267639975
XM_027363519.1	6.66831485724385
XM_027361232.1	6.61783156634743
XR_003477683.1	5.54597425304918
XM_027370853.1	7.16245745387966
XM_027381560.1	6.94909603538245
XM_027352191.1	5.66632141229772
XM_027357750.1	6.27284196125632
XM_027382626.1	7.3351586681419
XM_027382396.1	5.92343465009638
XM_027379174.1	5.7516283835616
XR_003477682.1	5.63459023853239
XM_027372106.1	5.32222378710124
XM_027363320.1	6.84321241491619
XM_027371950.1	5.34128239640124
XM_027360774.1	5.67905529629094
XM_027362075.1	6.43576566722655
XM_027381578.1	6.39263685806399
XM_027368129.1	6.75813603605848
XR_003477828.1	6.26980677512345
XM_027377028.1	5.57436637174734
XM_027352190.1	5.47979265024005
XM_027351771.1	7.40778585013402
XM_027367176.1	5.50340952975758
XM_027364348.1	7.55093852113605
XM_027372984.1	5.78412384753864
XM_027359029.1	3.82687736752745
XM_027359992.1	4.22136854734264
XM_027382717.1	2.08574812265759
XM_027352730.1	3.99828600653446
XM_027383786.1	7.43495212501314
XM_027358230.1	6.48206490389999
XR_003477935.1	5.58922199331215
XM_027366882.1	6.96825139222888
XM_027355951.1	7.4628966483686
XM_027353854.1	6.5046321104924
XM_027375905.1	4.06230060072343
XM_027375752.1	5.52005692416913
XM_027377455.1	6.21205657583798
XM_027351265.1	7.17805434541307
XM_027357576.1	6.14493929505784
XM_027380369.1	5.94519191986645
XM_027373608.1	4.98210919025912
XM_027379298.1	7.9062214279608
XM_027375170.1	4.35519413288974
XM_027360962.1	5.63202233849401
XM_027369410.1	5.94781015444392
XM_027367820.1	5.70540615273624
XM_027382069.1	5.67260092808993
XM_027379262.1	6.44316991615988
XM_027370901.1	6.93185802435908
XM_027365519.1	6.85603607775352
XM_027364351.1	7.40416527890752
XM_027362349.1	6.85227197749565
XM_027380874.1	7.86124053331259
XM_027360690.1	6.40822577708171
XM_027362906.1	5.36534287260288
XM_027370607.1	7.4582472307038
XM_027381576.1	6.35878649505556
XM_027381967.1	6.35555888868747
XM_027363589.1	6.86140855725134
XM_027372206.1	7.85052570035263
XM_027352581.1	7.14167460041972
XM_027369098.1	6.46893019142979
XM_027351048.1	7.08322284709713
XM_027369517.1	4.36967195463383
XM_027365595.1	8.71548638758628
XM_027362612.1	8.41095786333079
XM_027368784.1	7.19277393961436
XM_027377991.1	6.82340017283432
XM_027367034.1	7.24988043485317
XM_027355865.1	6.91112377133119
XM_027373438.1	4.52956389258843
XM_027381486.1	6.45804990701208
XM_027357173.1	2.43376540595075
XM_027361623.1	5.28747335525214
XM_027378590.1	7.75258183166451
XM_027360970.1	5.91446191585372
XM_027365689.1	-7.98844479864241
XR_003475657.1	6.6610294009808
XM_027359527.1	7.76413166205217
XM_027382225.1	7.322654329516
XM_027351880.1	4.06203517719349
XM_027375669.1	6.8046798309333
XM_027368862.1	5.21127382755186
XM_027378432.1	7.57227676129347
XM_027365592.1	7.80167602536945
XM_027366397.1	7.47882380103163
XM_027373433.1	6.95535357573412
XM_027359184.1	7.42309546259197
XM_027360507.1	7.08037384065451
XM_027360500.1	6.48641635118987
XR_003475559.1	7.64954481510599
XM_027353911.1	6.292479692473
XM_027367358.1	6.5779517602224
XM_027365607.1	6.76565340720535
XM_027361279.1	5.19098531091411
XM_027356792.1	7.85134730189889
XM_027357927.1	6.6302926440436
XM_027370838.1	5.0720025232433
XM_027361575.1	5.87830368303494
XM_027373825.1	6.72241969510737
XM_027352315.1	4.97014547257682
XM_027368573.1	7.18590388128704
XM_027380510.1	5.74720005288371
XM_027376575.1	7.34081651993967
XM_027354222.1	8.31562415797424
XM_027358455.1	7.57563767472569
XM_027367615.1	6.9013155751966
XM_027376188.1	6.81276256937136
XM_027358893.1	6.56667368364242
XM_027371888.1	7.67423107667271
XM_027356442.1	7.49390788525198
XM_027361234.1	5.85076139509733
XM_027383665.1	7.24682277873524
XM_027355864.1	7.41447443145821
XM_027360499.1	7.47147111064937
XM_027371261.1	7.42683253265621
XM_027378386.1	7.23264787345844
XM_027377315.1	5.23555246347068
XM_027377048.1	8.0353993474561
XM_027359101.1	6.58642256918618
XM_027378383.1	7.1777621697233
XM_027353277.1	7.16434796862582
XM_027362105.1	7.41411201174105
XM_027365343.1	7.12476332532174
XM_027364428.1	6.82222866186778
XM_027356141.1	7.29822348206694
XM_027368092.1	6.03229015437232
XM_027367621.1	6.74765002064917
XM_027370505.1	9.16356422567004
XM_027365078.1	7.11024497406901
XM_027379214.1	7.02553776181227
XM_027362026.1	7.07707674358834
XM_027373347.1	-3.63753062767961
XM_027372205.1	5.89683191398485
XM_027367963.1	8.00146946101858
XM_027359249.1	7.38646997081987
XM_027363191.1	4.14947333039745
XM_027377185.1	7.31314804910025
XM_027358431.1	7.4994105677653
XM_027360144.1	7.19317088140441
XM_027353363.1	6.96690905722064
XM_027379807.1	7.55270311709427
XM_027379368.1	7.18500750124369
XM_027357602.1	6.95248309142958
XM_027381869.1	6.43389414978935
XM_027372111.1	5.65646581862982
XM_027382270.1	6.69979663449401
XM_027371690.1	7.57286284997659
XM_027373884.1	8.58404870423245
XM_027379160.1	6.52531955551679
XM_027358521.1	6.92232333427976
XM_027379017.1	6.51122810742442
XR_003477627.1	8.08258426507892
XR_003476974.1	8.61258472115856
XM_027378389.1	6.58723251437673
XM_027382610.1	7.27568599795422
XM_027377268.1	6.88929503829396
XM_027351597.1	5.86117252388754
XM_027373286.1	7.34286610384119
XR_003477129.1	7.00454581451798
XM_027356523.1	8.03234179658716
XM_027376473.1	5.32267433364583
XM_027376160.1	6.38881895551315
XM_027378080.1	5.37107347510995
XM_027363588.1	6.0133597889425
XM_027354093.1	6.85649053296418
XM_027382424.1	-2.09009492983391
XM_027358862.1	7.84875024394972
XM_027382054.1	7.81575953612654
XM_027358933.1	6.44642739331501
XM_027359274.1	5.48112986526742
XM_027369291.1	7.32336142549942
XM_027366808.1	5.54415307044964
XM_027357346.1	2.98193879600224
XM_027367823.1	6.1078593124153
XM_027374911.1	7.87242188883873
XM_027351026.1	7.66983028758664
XM_027360949.1	7.16825218738842
XM_027363955.1	7.5721730716464
XM_027377454.1	7.05968663344849
XM_027363953.1	7.54299743627221
XM_027371447.1	7.83218893660156
XM_027377236.1	7.34663150543482
XM_027372425.1	4.27301606114135
XM_027367622.1	8.18505918303561
