ID	edgeR_logFC	limma_logFC	NOISeq_log2FC_SigInv	DESeq2_log2FoldChange
XM_027351138.1	1.74992108021867	2.53669280306104	1.69140600810985	1.76052581517112
XM_027351140.1	2.89091094869634	2.69056934600361	2.87019493572059	2.9072947883244
XM_027351141.1	2.32335414824801	2.22527497928173	2.31403398525957	2.35749531276393
XM_027351143.1	7.64937510815942	8.97370601222206	7.70324732363848	7.80091053140078
XM_027351147.1	2.46273459216469	2.83828815277855	2.47965882255107	2.49824237684708
XM_027351148.1	2.79872736804198	3.4020623428545	2.79812426875995	2.83587662656285
XM_027351149.1	1.61116704826553	2.01160521491878	1.5518836867393	1.58917883846926
XM_027351153.1	-1.8399631959618	-1.73624234391651	-1.85932786431117	-1.83643669358241
XM_027351165.1	2.25720721198857	2.99538132207721	2.15966837778881	2.30381145676577
XM_027351178.1	1.29744731155526	1.94665405993426	1.22792529468372	1.26754825938551
XM_027351187.1	6.72283430866116	8.47053485823537	6.74534435399968	6.83129021870851
XM_027351188.1	2.44045684518349	2.10551586195901	2.40612883886248	2.42685962534098
XM_027351203.1	8.69590695804927	7.70653970041829	8.57233015736539	8.79253896275284
XM_027351204.1	2.44765380944074	2.50458566337324	2.42756612550807	2.47294680066789
XM_027351213.1	-3.90533311575634	-6.25438820409443	-4.01174449598679	-4.04589921640181
XM_027351214.1	-1.83045218355903	-1.87144284411483	-1.82927521971266	-1.7885879354658
XM_027351217.1	7.16535237784678	8.57251746232604	7.0190590933802	7.25802358955577
XM_027351225.1	1.79510244483346	1.72778329200642	1.77955911659878	1.83153665434316
XM_027351245.1	3.69836041626457	3.58206645355793	3.70030839260681	3.74803315226211
XM_027351250.1	3.79093211402443	3.79321850969276	3.7252295722873	3.79863751222146
XM_027351252.1	1.50826943248252	1.56456470127058	1.490313702862	1.52547102991651
XM_027351265.1	7.94588208805298	7.88662291448379	7.17805434541307	8.10741353405577
XM_027351266.1	6.83097195568095	4.685415950516	5.18228412785899	6.58588700781725
XM_027351292.1	1.44432458846097	1.8523019518443	1.45181346908862	1.38364884203968
XM_027351294.1	-2.68914774639387	-2.66928866889024	-2.71607282250215	-2.7080809085766
XM_027351300.1	4.35105480714086	4.3489735134725	4.36029103114833	4.39914464420437
XM_027351310.1	1.25419904289819	2.05142523813497	1.1537353865487	1.18177491618346
XM_027351319.1	8.23585755988282	8.5748172100369	8.07320634152134	8.35995589977244
XM_027351325.1	4.67776487642395	4.84625117025274	4.60464425551879	4.71417335575194
XM_027351326.1	3.99546872170428	4.13095212048902	3.89540466044728	4.00174484953211
XM_027351329.1	4.19102536481504	4.20340817987844	4.11135670978471	4.17931733045136
XM_027351330.1	3.93382050001974	4.21098147822945	3.89964455157067	3.9712508423226
XM_027351335.1	-5.5788426273834	-4.86092927935637	-5.72661832539219	-5.68403325452952
XM_027351341.1	3.65744443813472	3.78732586824698	3.71680580943054	3.70412503594992
XM_027351342.1	2.88868894917624	3.27414895604384	2.70384691113412	2.91708193319781
XM_027351343.1	3.33209215719275	3.17106871753744	3.10867719038138	3.40166230399803
XM_027351344.1	2.75795166913306	2.40480039365422	2.73118389831412	2.80717408300768
XM_027351345.1	2.98914727674874	2.92267568232054	2.80421796850994	3.04152578071859
XM_027351350.1	6.17333589242367	6.20048200566344	6.21656474798511	6.26319176074498
XM_027351355.1	-1.77914899803193	-1.76665371477007	-1.7978962194118	-1.76774784361196
XM_027351358.1	6.53797132305148	6.45071141709996	6.25882609602876	6.6038002963989
XM_027351361.1	-1.60337592870733	-1.31603067343909	-1.63099390016887	-1.6218686728947
XM_027351369.1	7.46550668161523	7.41534902597152	7.22196448263275	7.57947583410554
XM_027351372.1	1.83698946337348	1.73971621961318	1.82366053260365	1.86591575313622
XM_027351378.1	5.36256755767518	5.8690882392145	5.47490813648472	5.49792849580549
XM_027351405.1	4.72790693293628	5.21939872964952	4.61988060160162	4.74266679298204
XM_027351415.1	-5.07418709323999	-4.9126931761463	-5.06751279440341	-5.09823104493893
XM_027351419.1	7.74717093323421	10.605953687452	7.89468281725254	7.90970195044889
XM_027351435.1	1.6321282947009	1.73067404298975	1.57904652799878	1.61658839350166
XM_027351444.1	-2.57474710355898	-2.04822637601672	-2.6086315400947	-2.59188098157933
XM_027351445.1	-2.76534083151071	-2.30202619042221	-2.79114483812361	-2.77350727207193
XM_027351446.1	-2.53340434854179	-2.29515959093393	-2.57148160793929	-2.55573290626629
XM_027351447.1	-2.41273226704818	-1.97795669025036	-2.44743976350075	-2.43068091782028
XM_027351449.1	-6.44571458099347	-7.35487174095541	-6.51732093808585	-6.5320608888377
XM_027351455.1	2.59261276811287	2.50991359255382	2.59723510548129	2.64598002793008
XM_027351456.1	2.6469145615767	3.2374017110427	2.62550097079012	2.68295233685931
XM_027351457.1	2.62534124817335	2.80511210691133	2.62880611949952	2.67741278806501
XM_027351467.1	1.52587640237805	2.66027827011574	1.46004360183002	1.51698930595369
XM_027351471.1	3.95659936742782	3.8840656951406	3.55580870204753	4.06619106945348
XM_027351485.1	7.81986197811612	8.0103448135434	7.76793199273414	7.92603753704912
XM_027351488.1	8.06012907353892	7.57419077317278	7.42403318250749	8.25204605297734
XM_027351519.1	2.97166463145337	3.25830331580652	2.82546685294004	3.05983518977717
XM_027351520.1	3.35601046507839	3.68410673233146	3.36515383267302	3.39484931000618
XM_027351521.1	2.56942645681679	2.43228451703605	2.55206483484714	2.63707028941043
XM_027351535.1	8.1339460465048	10.8789338064002	8.1612135997372	8.1510198436742
XM_027351555.1	6.4110435341383	6.99555108531051	6.33814222800201	6.47303918428431
XM_027351558.1	5.8761044951732	6.42335097637139	5.73822555497892	5.975238672955
XM_027351567.1	8.29953730069129	7.37299322856601	7.09244665985576	8.33147472510876
XM_027351568.1	6.9564389200121	6.59749277174338	6.20566325110053	7.1096248610657
XM_027351584.1	1.9249393172986	1.92842735909633	1.89636306800071	1.93607450745924
XM_027351587.1	6.64728891750734	7.36152680072128	6.61185465528152	6.73386872759374
XM_027351588.1	5.61761701016178	6.48598557507089	5.33709186462051	5.744703198179
XM_027351589.1	3.51717659001959	3.59346086867505	3.47558234690863	3.55418795655361
XM_027351590.1	9.01042777070673	10.2621919931366	9.00684115578473	9.12723687416417
XM_027351592.1	-3.4825500443624	-4.15087388662543	-3.59110426600115	-3.58935562918059
XM_027351597.1	6.17459057485452	5.85070854937966	5.86117252388754	6.25335336659073
XM_027351599.1	4.76820296489081	4.7738781584102	4.71561867027171	4.79232169774198
XM_027351600.1	9.19700003919639	8.1605471649526	7.93321251652172	9.33469176290926
XM_027351601.1	8.60258885450315	9.44227375174823	8.36461892985561	8.73118477141071
XM_027351602.1	5.09449608736304	5.84968803791634	5.05084166804006	5.04424849313771
XM_027351603.1	6.02123315968295	6.51231345049756	6.05787047137022	5.9196696130722
XM_027351604.1	-3.43451625462661	-4.68866144251136	-3.57879125983545	-3.55433172595645
XM_027351612.1	9.92110575305891	6.18558953634463	6.15501453735521	7.72102302530616
XM_027351613.1	9.98115192715237	6.22042934224491	6.21908068309269	7.78732971824809
XM_027351614.1	6.57489013794361	6.15946163922945	6.09894957245043	6.67925321227702
XM_027351615.1	5.749496701021	5.51123350038981	5.43836480170094	5.83687334661225
XM_027351627.1	7.27435860334701	8.91342319283566	7.30776273383488	7.416020232835
XM_027351628.1	1.6707317279797	1.70262013160228	1.64110881700324	1.69175111482708
XM_027351629.1	1.52663516964292	1.59216360890664	1.48353792438757	1.53759218067323
XM_027351630.1	1.54203199691421	1.82248157831602	1.4908890464933	1.54504027814707
XM_027351646.1	1.9453385292523	1.24184440495779	1.95110309470406	2.02239352521719
XM_027351659.1	1.68284097506762	0.811486019994866	1.5893417684944	1.62285785642184
XM_027351668.1	7.55043421724341	10.5145544742079	7.6614731795892	7.65829067318425
XM_027351671.1	9.67042819705381	8.62490228314213	8.40834670422061	9.80768136082018
XM_027351699.1	3.59253870519305	4.03615868588844	3.54943014310296	3.54878786995827
XM_027351700.1	1.80321535300869	2.220319594317	1.79754052490036	1.81430308971298
XM_027351702.1	2.30969396964808	2.37514224578819	2.32034667946976	2.34235979068727
XM_027351704.1	1.90213820390008	2.11796596404483	1.83820834892409	1.90874492836077
XM_027351731.1	-1.82127858916388	-1.57784139689047	-1.78505063899786	-1.78400808198479
XM_027351732.1	-1.58207512711599	-1.48875826966166	-1.56169744842252	-1.5462736358428
XM_027351734.1	-3.07050529303052	-3.23411276193936	-3.14723730115665	-3.11775109549625
XM_027351735.1	-3.15316414339765	-3.31478913770247	-3.22695501209397	-3.19731867469989
XM_027351736.1	-3.09040052956106	-3.25268859604565	-3.16698670158638	-3.13643184723932
XM_027351739.1	-3.77022198433571	-3.58605844717529	-3.82623887223805	-3.80589603491157
XM_027351750.1	10.2339586713836	6.45039669383008	6.45011211904739	8.02130728410569
XM_027351765.1	2.47020450623537	2.39004544188709	2.4230675597073	2.45239618502846
XM_027351766.1	-1.72387515973792	-0.696165521275464	-1.81377568141963	-1.73652493865051
XM_027351771.1	7.60709318987443	8.12264286181528	7.40778585013402	7.71329021169425
XM_027351775.1	2.08486446364376	1.8949529345409	2.03518336254711	2.05859642296656
XM_027351776.1	2.13050283559426	1.8517409463428	2.07528494720392	2.09280374769499
XM_027351778.1	-1.53043643172943	-1.17976132586543	-1.55411461463595	-1.53092738501444
XM_027351790.1	9.83387397669205	6.07141623771919	6.06735247217015	7.63199700935954
XM_027351791.1	10.2311752456091	6.48709636624066	6.46619763013634	8.03286976671078
XM_027351808.1	2.51854088104801	2.88276641622193	2.43754175768283	2.4588125437626
XM_027351830.1	5.35233560726033	5.86148643571353	5.34607757481867	5.42261307264472
XM_027351847.1	7.04903470975689	8.81442639113832	7.12463250388831	7.15110357846433
XM_027351851.1	6.51721043579598	5.54206152866549	5.47250718505519	6.45777042203143
XM_027351861.1	2.81308627239908	2.81234677998807	2.77419192073165	2.8079652763752
XM_027351863.1	3.02852895100999	2.95156105969298	2.98970568499513	3.01661796868885
XM_027351864.1	3.16052996157762	3.17167727971719	3.12197062993368	3.14579058493653
XM_027351865.1	-2.48862240693513	-2.58277211863938	-2.52211935704233	-2.50617648997013
XM_027351871.1	2.38013701093475	2.87937668659394	2.3631922381981	2.36347645809642
XM_027351872.1	1.5992633253751	2.71644744338047	1.52467449229836	1.59204610950813
XM_027351873.1	1.08393676591183	1.99612027950301	1.02193194553181	1.06380457806803
XM_027351874.1	2.34218866991305	2.25672774142931	2.30453831700431	2.35930756237709
XM_027351876.1	4.88923427867126	4.85310705756685	4.87668701660779	4.91912152735726
XM_027351877.1	2.65087035501878	2.51627781179196	2.65995985389808	2.70655344439112
XM_027351879.1	2.7164342545688	2.62021783218203	2.72285327290395	2.77534509749784
XM_027351880.1	4.03756032946463	3.85110501312282	4.06203517719349	4.11597366653572
XM_027351881.1	2.47352140648815	2.34737784210512	2.46941643600192	2.52042639761822
XM_027351882.1	2.55145398894308	2.475554362488	2.55754160845013	2.60927750083267
XM_027351883.1	2.64064215732902	2.55496134006545	2.65041667049266	2.69608025385547
XM_027351884.1	2.57675936707773	2.46375690652608	2.57892812915078	2.63294522145591
XM_027351885.1	1.79595750551224	1.55052247281157	1.79796557596669	1.83663323552528
XM_027351928.1	5.25346141924064	5.35306421074965	5.144990382926	5.28091903891191
XM_027351947.1	-2.85620843950362	-3.20281486921687	-2.94103463965189	-2.91498675380393
XM_027351948.1	11.3885149857458	6.64150989443084	7.68376269640485	9.26532981776201
XM_027351952.1	-2.97134880914749	-3.62646929972812	-3.01912559764148	-3.01184865998486
XM_027351966.1	-3.63012629359815	-3.81679986708566	-3.68628369274942	-3.68799211340156
XM_027351973.1	-3.82271608730102	-4.01955521852774	-3.87077807966884	-3.87906176247698
XM_027351977.1	-4.29768427900764	-4.23903007160789	-4.33773340254735	-4.32317148159187
XM_027351978.1	-4.34028573087212	-4.2480605831519	-4.3785209649543	-4.36663796133558
XM_027351979.1	-4.43375465530872	-4.35138781310753	-4.47104749509603	-4.45899050874233
XM_027351980.1	4.8823251004801	5.15120483820449	4.87022562085805	4.93719973569667
XM_027351981.1	-4.40787347174429	-4.46726402692981	-4.45346769960656	-4.44699081971596
XM_027351984.1	1.51737190431634	1.76561378104932	1.51846580531969	1.50008911864998
XM_027351987.1	-1.76727582283655	-1.69254868303218	-1.77272260221319	-1.74465084988603
XM_027351992.1	5.76317368197962	4.84794357919332	4.53331018458138	5.77162336212266
XM_027351997.1	5.94446434672156	6.3246031986081	5.90805986999937	6.00436441407277
XM_027351999.1	2.70277096759069	2.58745537380053	2.67404567005778	2.71455730233153
XM_027352001.1	-2.81791355529776	-2.63305708428728	-2.86720784281439	-2.83572999702234
XM_027352002.1	2.11671789474881	2.13188062796193	2.04315623403291	2.11587708640475
XM_027352004.1	2.17033501089263	2.19932843895432	2.15372423386916	2.19464725615494
XM_027352005.1	-2.3570105175094	-2.34049487648083	-2.38602215402457	-2.3533043806989
XM_027352006.1	2.34819430099094	2.93013239484663	2.3463397493709	2.33762960399944
XM_027352008.1	5.853008616505	6.63502017367954	5.83130643137704	5.89253118151501
XM_027352009.1	-3.98540386489415	-3.99018376038654	-3.98036378430339	-3.95010691558157
XM_027352010.1	-3.62669823404697	-3.57807570733103	-3.62281191055045	-3.59531036837903
XM_027352012.1	5.81047079325619	6.1032732362399	5.80567352863005	5.86780635625788
XM_027352022.1	6.81798292970964	8.25538083404802	6.73401748231984	6.87670924929984
XM_027352030.1	3.519625635012	4.2634635444631	3.46713737204137	3.46506480732279
XM_027352031.1	4.96780744060058	5.13884720394286	4.65000568119786	4.95453456475715
XM_027352032.1	4.40952707454649	4.53864767353591	4.32232047150084	4.38754508668207
XM_027352045.1	3.30361554699457	3.26712712029594	3.17462460710147	3.36200031012468
XM_027352047.1	3.56677583052497	3.59212326120645	3.36512274534887	3.61075916891337
XM_027352048.1	2.55752067281304	2.49559210336809	2.58757822467743	2.62063389763066
XM_027352049.1	2.79683346888132	3.35132004691314	2.68886868888536	2.83025556858985
XM_027352050.1	2.6831643301676	2.89352668224194	2.65035115239845	2.7081623331564
XM_027352051.1	3.82095761841075	3.67496928767307	3.53937653212854	3.91312977925542
XM_027352052.1	3.64781111566906	3.59149428747452	3.46474880695598	3.73433396435196
XM_027352053.1	2.35615118105881	2.52161240878697	2.37976416079339	2.40589952426829
XM_027352069.1	4.91331272773695	4.37835469552142	4.91453119862197	4.98633780936937
XM_027352072.1	1.49199931580723	1.8821447744439	1.49533483295106	1.49381323360278
XM_027352101.1	1.75691664130265	1.81896968176733	1.6762478670611	1.77127862121198
XM_027352105.1	3.0484028189439	3.96315821949149	2.92141777518987	3.01487164747165
XM_027352108.1	-1.92776003208157	-2.06668095438959	-1.91661917843208	-1.88460199780662
XM_027352109.1	-1.68669540390196	-1.8215008110504	-1.68641631039742	-1.65301134315947
XM_027352110.1	1.66724675091967	1.78528693803271	1.61525291079913	1.65184621058011
XM_027352116.1	6.88183013501944	5.93078651626041	5.55444205272172	6.95357427014749
XM_027352132.1	-5.94778474964556	-8.13659026270981	-6.10195228808395	-6.09062401055446
XM_027352133.1	7.57738927737597	8.77424244961593	7.59248181863772	7.7233663019541
XM_027352136.1	-5.6273256840063	-7.48216734561819	-5.77934470446066	-5.7673769696391
XM_027352140.1	1.48821740388239	2.13177217157021	1.40137873678737	1.42736986878893
XM_027352147.1	1.98437777318786	1.63063232244665	1.90271190167061	1.9333932801776
XM_027352166.1	11.9350815098614	6.68449363962549	8.24270260559206	9.83584221139062
XM_027352188.1	-1.611681007825	-1.51779946784173	-1.64726221808042	-1.62700174657592
XM_027352189.1	4.150859997985	4.38905152149101	4.1745254792739	4.22747310889397
XM_027352190.1	7.11547341845707	5.34269666045779	5.47979265024005	6.72053511159652
XM_027352191.1	9.43742196989755	5.57208850897342	5.66632141229772	7.2286753411708
XM_027352192.1	5.38895699728934	4.69439224828795	4.59342371023565	5.4727317837546
XM_027352193.1	9.23510653299843	5.37151517539009	5.46924112778849	7.03349326256232
XM_027352194.1	5.91047103176382	4.83797644620425	4.87968997022582	5.86691226344982
XM_027352202.1	1.51309343533322	1.53884030199047	1.51363903441097	1.53407061734616
XM_027352205.1	1.59995578609265	1.5300082517409	1.49783768816869	1.5937811374467
XM_027352216.1	-2.23877956325205	-2.2371514313659	-2.31543799485196	-2.29033388421529
XM_027352218.1	-1.98564764282156	-1.96921924686839	-2.05674090176748	-2.03373722227859
XM_027352219.1	-2.19395988169868	-2.11144220222301	-2.26345209934026	-2.2435636953461
XM_027352220.1	-2.08671054989402	-2.04106688862857	-2.16114884199416	-2.13533171741934
XM_027352221.1	1.67514160584035	1.88359631024838	1.63197027130985	1.6326782166278
XM_027352237.1	2.51337476967542	2.59399808723766	2.3388439295682	2.54963321103224
XM_027352241.1	-4.30570731257968	-5.09273714947869	-4.45896326731276	-4.44782426008613
XM_027352274.1	-1.69763631590756	-0.765864662562763	-1.74599658610752	-1.77930879026328
XM_027352281.1	-7.65685949947493	-9.98322467901466	-7.74600697571877	-7.83988989251759
XM_027352282.1	-7.88593501351459	-9.58378452496844	-7.98890183854587	-8.06401917018396
XM_027352283.1	-8.3274136247659	-9.53525460480862	-8.3907058515492	-8.52159328205746
XM_027352284.1	-8.08204173194552	-7.20926572539069	-8.16782947347708	-8.18933634989972
XM_027352285.1	-8.32340543146657	-7.48346866738473	-8.41488012483087	-8.43537538919687
XM_027352295.1	9.24967743817021	8.36361417283899	7.88205257981893	9.28071857115005
XM_027352296.1	9.15406974308342	8.25813676595628	7.93268437283957	9.17188868423489
XM_027352297.1	8.12551943345475	7.8139558811767	7.32266853390446	8.26889335248447
XM_027352301.1	-4.95849706159857	-7.98395405696907	-5.05103642427601	-5.10280357432195
