ID	hep_mean	hep_wssv_mean	theta	prob	log2FC	lminusProb	log2FC_SigInv	hep_1	hep_2	hep_3	hep_wssv_1	hep_wssv_2	hep_wssv_3	hep_1_normalized	hep_2_normalized	hep_3_normalized	hep_wssv_1_normalized	hep_wssv_2_normalized	hep_wssv_3_normalized	Expression
XM_027350718.1	336.941832913144	1044.60332238698	-1.03781631906344	0.993349944601622	-1.63238373529128	0.0066500553983776	1.63238373529128	539	432	373	722	794	709	391.496686784198	366.257873208543	253.070938746692	707.202484600753	948.189594258902	1478.41788830129	Down_hep_Up_hep_wssv
XM_027350756.1	1481.41580115689	263.016508503193	1.97033193624372	1	2.49375137082944	4.44089209850063e-16	-2.49375137082944	1910	1589	2520	271	194	140	1387.30736875291	1347.18463085272	1709.75540386505	265.445807931862	231.673528068296	291.930189509423	Up_hep_Down_hep_wssv
XM_027350767.1	4100.75772703235	1043.20167774088	2.35812106076335	0.999336007287496	1.974872416775	0.000663992712503947	-1.974872416775	4923	5068	6529	860	920	570	3575.76658448721	4296.74745699282	4429.75913961702	842.374150632476	1098.65796815893	1188.57291443122	Up_hep_Down_hep_wssv
XM_027350776.1	430.291370745233	141.481257015813	0.823373713081044	0.989038007342382	1.60470296603413	0.0109619926576182	-1.60470296603413	526	607	581	64	158	83	382.05428060944	514.626224624041	394.193607002219	62.6883088842773	188.68256409686	173.072898066301	Up_hep_Down_hep_wssv
XM_027350777.1	437.110084101087	135.636249031005	0.858863412448197	0.988342269248746	1.68825386854409	0.0116577307512543	-1.68825386854409	514	615	614	61	158	76	373.338213371202	521.408777831607	416.583261100452	59.7497944053268	188.68256409686	158.476388590829	Up_hep_Down_hep_wssv
XM_027350778.1	533.08569722357	159.458447370037	0.958864616387056	0.991792144009525	1.74118694794685	0.00820785599047491	-1.74118694794685	644	732	753	91	188	79	467.762275118782	620.603618492254	510.891198059675	89.1349391948318	224.50836740639	164.732035508889	Up_hep_Down_hep_wssv
XM_027350794.1	75.92772726651	0.70981898488681	2.73748535486745	1	6.74103185323722	0	-6.74103185323722	124	48	143	0	0	0	90.0660281284611	40.6953192453937	97.0218344256754	0.489752413158416	0.597096721825505	1.04260781967651	Up_hep_Down_hep_wssv
XM_027350808.1	84.8143518155202	0.70981898488681	2.79373511762706	1	6.90071343872063	0	-6.90071343872063	153	53	145	0	0	0	111.129857287537	44.9344150001222	98.3787831589016	0.489752413158416	0.597096721825505	1.04260781967651	Up_hep_Down_hep_wssv
XM_027350820.1	30077.4250449914	96111.1623361201	-3.65963199586947	1	-1.67602293321604	4.44089209850063e-16	1.67602293321604	37596	40628	41976	77665	83292	54092	27307.4386574002	34445.196464622	28479.6400129521	76073.2423358968	99466.7603085799	112793.484363884	Down_hep_Up_hep_wssv
XM_027350821.1	21714.7695068192	69631.9971100566	-3.77463607348099	1	-1.68107376255494	0	1.68107376255494	27805	28363	30807	56558	61670	38294	20195.8541299344	24046.6945782729	20901.7598122502	55398.8339668274	73645.9096699578	79851.2476933845	Down_hep_Up_hep_wssv
XM_027350831.1	1934.80701982844	46.333026015816	1.99267772041824	0.999999999976773	5.38400495899356	2.3226753853578e-11	-5.38400495899356	3171	863	4082	120	4	8	2303.22076770444	731.667927266141	2769.53236451473	117.54057915802	4.77677377460404	16.6817251148242	Up_hep_Down_hep_wssv
XM_027350833.1	956.319274171879	34.2814055396447	1.49676169963445	0.995250235343176	4.80199418654125	0.00474976465682375	-4.80199418654125	1640	384	1993	98	0	3	1191.19585589255	325.562553963149	1352.19941265994	95.9914729790496	0.597096721825505	6.25564691805906	Up_hep_Down_hep_wssv
XM_027350834.1	263.580562914409	18.2689888763239	1.15456396017794	0.997066937128794	3.85077529311273	0.0029330628712062	-3.85077529311273	415	141	545	45	2	4	301.430658655737	119.542500283344	369.768529804147	44.0777171842575	2.38838688730202	8.34086255741208	Up_hep_Down_hep_wssv
XM_027350836.1	4934.57484226276	183.73257655111	2.61032457746836	1	4.74724643887957	0	-4.74724643887957	8585	2510	9492	346	73	60	6235.61977002289	2128.02606887371	6440.07868789168	338.908669905624	87.1761213865237	125.112938361181	Up_hep_Down_hep_wssv
XM_027350837.1	3477.42488527814	131.066080907128	1.98980686196028	0.999999999991874	4.72965307351599	8.1263884510463e-12	-4.72965307351599	4901	1672	8040	346	28	10	3559.78712788377	1417.55362038121	5454.93390756944	338.908669905624	33.4374164222283	20.8521563935302	Up_hep_Down_hep_wssv
XM_027350838.1	1455.58614964096	84.6704293844088	1.46046070745641	0.990430746756831	4.10359821309606	0.00956925324316926	-4.10359821309606	1980	719	3418	238	14	2	1438.1510943093	609.58196952996	2319.02538508362	233.122148663406	16.7187082111141	4.17043127870604	Up_hep_Down_hep_wssv
XM_027350840.1	805.070545642257	180.337228469331	1.47902649981458	0.992462490522348	2.15841795261768	0.00753750947765242	-2.15841795261768	1164	864	1234	200	172	67	845.458522109103	732.515746417086	837.237368400583	195.900965263367	205.401272307974	139.709447836652	Up_hep_Down_hep_wssv
XM_027350843.1	589.714463677736	31.216934120096	1.74093670289008	0.995944413336642	4.23961581965513	0.00405558666335848	-4.23961581965513	1149	687	519	11	24	26	834.563438061305	582.451756699697	352.128196272206	10.7745530894852	28.6606426476242	54.2156066231785	Up_hep_Down_hep_wssv
XM_027350844.1	2535.72180097612	32.0722982562114	2.72744997806311	1	6.30492492402431	0	-6.30492492402431	4828	2947	2361	10	13	34	3506.76438551782	2498.52303783698	1601.87797957356	9.79504826316833	15.5245147674631	70.8973317380027	Up_hep_Down_hep_wssv
XM_027350855.1	41.6629500806574	143.371321961472	-1.00261273015766	0.996682968443112	-1.78291957308979	0.00331703155688845	1.78291957308979	53	46	70	128	112	82	38.4959636355519	38.9996809435023	47.493205662918	125.376617768555	133.749665688913	170.987682426948	Down_hep_Up_hep_wssv
XM_027350865.1	56.5608104665749	5.06168420759351	1.01021004590705	0.996042836115987	3.48211338548842	0.00395716388401324	-3.48211338548842	108	62	57	12	2	0	78.4446051441436	52.5647873586335	38.6730388969475	11.754057915802	2.38838688730202	1.04260781967651	Up_hep_Down_hep_wssv
XM_027350885.1	345.86916348534	116.229464420443	0.856387180401661	0.988206120063675	1.57325055225891	0.0117938799363245	-1.57325055225891	538	322	551	93	83	76	390.770347847678	272.997766604516	373.839376003826	91.0939488474654	99.1180558230338	158.476388590829	Up_hep_Down_hep_wssv
XM_027350889.1	414.226729636994	95.0338866599703	1.37003043100243	0.995794678730923	2.12390671368474	0.0042053212690768	-2.12390671368474	560	437	686	88	81	49	406.749804451115	370.496968963272	465.433415496596	86.1964247158813	96.7296689357318	102.175566328298	Up_hep_Down_hep_wssv
XM_027350921.1	1604.02040147064	17583.351930096	-3.16577813338213	0.999999999999997	-3.45444572234171	3.33066907387547e-15	3.45444572234171	2238	2879	1099	20653	18236	5152	1625.54653993142	2440.87133557268	745.643328907813	20229.7131779215	21777.3116384198	10743.0309739468	Down_hep_Up_hep_wssv
XM_027350922.1	476.758270721193	4664.70467555822	-3.02300974984001	1	-3.29045587483475	0	3.29045587483475	810	789	255	5119	4134	1939	588.334538581077	668.929310096159	173.010963486344	5014.08520591587	4936.79569605328	4043.2331247055	Down_hep_Up_hep_wssv
XM_027351031.1	168.365818534035	53.6654469913579	0.702956716772291	0.984221106817226	1.64953387427243	0.0157788931827736	-1.64953387427243	199	194	289	21	46	41	144.54144836745	164.476915283466	196.07909195119	20.5696013526535	54.9328984079465	85.4938412134738	Up_hep_Down_hep_wssv
XM_027351038.1	366.698445184872	63.6006921325653	1.34367195039033	0.99848317647258	2.52747977818973	0.00151682352742022	-2.52747977818973	483	370	642	84	35	32	350.821706339086	313.69308584991	435.580543365619	82.2784054106139	41.7967705277853	66.7269004592966	Up_hep_Down_hep_wssv
XM_027351041.1	62.0146042533632	8.96230626823377	1.15596102341026	0.997070642727141	2.79066607231027	0.00292935727285859	-2.79066607231027	106	47	102	11	10	2	76.9919272711039	39.847500094448	69.2043853945377	10.7745530894852	11.9419344365101	4.17043127870604	Up_hep_Down_hep_wssv
XM_027351058.1	93.0170816178503	435.981408619541	-1.36180134362115	0.997476991703766	-2.2286990344727	0.00252300829623409	2.2286990344727	97	126	150	443	346	221	70.4548768424252	106.825213019158	101.771154991967	433.920638058357	413.190931503249	460.832656297017	Down_hep_Up_hep_wssv
XM_027351061.1	615.771173106023	2127.12212663619	-1.30427435095141	0.998692052709596	-1.78843663127756	0.00130794729040429	1.78843663127756	647	986	798	2469	2318	573	469.941291928341	835.949682832462	541.422544557265	2418.39741617626	2768.14040238304	1194.82856134928	Down_hep_Up_hep_wssv
XM_027351067.1	1632.16566306448	37380.6043810109	-2.73685273185165	1	-4.51743049335161	0	4.51743049335161	1455	2413	2644	23464	56366	10477	1056.82315263638	2045.78761123198	1793.88622532507	22983.1012446982	67311.9076448328	21846.8042535016	Down_hep_Up_hep_wssv
XM_027351069.1	350.029583212689	1326.75379286193	-1.38979956327838	0.998060093912233	-1.92235190946418	0.00193990608776728	1.92235190946418	364	517	512	1261	928	785	264.387372893225	438.322501038928	347.378875705915	1235.15558598553	1108.21151570814	1636.89427689212	Down_hep_Up_hep_wssv
XM_027351136.1	1779.7421772479	446.583593092903	1.58203606001395	0.998646790903562	1.99466610550022	0.00135320909643843	-1.99466610550022	2885	2031	2243	312	405	264	2095.48783185976	1721.92069557072	1521.81800431322	305.605505810852	483.648344678659	550.496928789197	Up_hep_Down_hep_wssv
XM_027351140.1	2525.32278294132	14866.4912864435	-2.38840947042674	0.999826345902996	-2.55752448216677	0.000173654097003983	2.55752448216677	2268	4508	3105	11773	18312	5371	1647.33670802701	3821.96873246322	2106.66290833372	11531.7103202281	21868.0703401373	11199.6931989651	Down_hep_Up_hep_wssv
XM_027351141.1	5520.07637221263	28491.7092275716	-2.27707270307643	0.999996038910176	-2.36778203958519	3.96108982381183e-06	2.36778203958519	4938	9474	7283	23715	36236	9099	3586.66166853501	8032.23863605958	4941.32881204331	23228.9569561037	43272.793624138	18973.3771024731	Down_hep_Up_hep_wssv
XM_027351143.1	2516.31509033175	21669.033456527	-2.8132728164096	1	-3.1062503123065	0	3.1062503123065	3353	2335	4619	33200	12359	8502	2435.41445415105	1979.65771745821	3133.87309938598	32519.5602337188	14759.0367700828	17728.5033657794	Down_hep_Up_hep_wssv
XM_027351144.1	419.971993412618	58.9425440560141	1.15249188247186	0.997048409002438	2.83291188640528	0.00295159099756226	-2.83291188640528	767	312	646	36	26	53	557.101964310723	264.519575095059	438.294440832072	35.262173747406	31.0490295349263	110.51642888571	Up_hep_Down_hep_wssv
XM_027351203.1	237.702157773999	3695.26230529435	-1.96542802925989	0.997074660574998	-3.95844987186651	0.00292533942500162	3.95844987186651	102	376	472	7007	1629	1092	74.0865715250245	318.780000755584	320.23990104139	6863.39031800205	1945.3411197075	2277.0554781735	Down_hep_Up_hep_wssv
XM_027351212.1	323.994397370725	23.33842474336	1.59580934985726	0.99655000613433	3.79518977280817	0.00344999386566958	-3.79518977280817	513	222	606	38	10	10	372.611874434682	188.215851509946	411.155466167547	37.2211834000396	11.9419344365101	20.8521563935302	Up_hep_Down_hep_wssv
XM_027351214.1	10836.5756127508	64247.7992055263	-3.08853300520709	1	-2.56773810277851	0	2.56773810277851	15390	13130	15033	49984	44493	43473	11178.3562330405	11131.8654519171	10199.5051532949	48959.5692386206	53133.2488883644	90650.5794895938	Down_hep_Up_hep_wssv
XM_027351260.1	19.1690176267261	82.9147402089591	-1.06751095471922	0.991746059195469	-2.11285219664008	0.00825394080453101	2.11285219664008	18	26	33	85	60	45	13.0741008573573	22.0432979245882	22.3896540982328	83.2579102369308	71.6516066190606	93.8347037708859	Down_hep_Up_hep_wssv
XM_027351310.1	163.225919882731	29.8076499551492	0.84163866002335	0.988238235110854	2.45311562961981	0.0117617648891457	-2.45311562961981	270	159	234	63	4	11	196.111512860359	134.803245000367	158.763001787469	61.7088040579604	4.77677377460404	22.9373720328832	Up_hep_Down_hep_wssv
XM_027351315.1	772.88765735125	258.421753515597	1.14040015926162	0.996803045119234	1.58053120844179	0.00319695488076632	-1.58053120844179	1174	884	1056	305	186	122	852.721911474301	749.472129436	716.468931143449	298.748972026634	222.119980519088	254.396308001068	Up_hep_Down_hep_wssv
XM_027351316.1	689.100409356057	225.970037677003	1.07851158261962	0.993508322812841	1.60858272217736	0.00649167718715904	-1.60858272217736	1046	762	975	249	222	81	759.750527599761	646.038193020625	661.512507447787	243.896701752891	265.110944490524	168.902466787595	Up_hep_Down_hep_wssv
XM_027351318.1	680.980617148376	226.513539952899	1.18498876345907	0.994945555933417	1.58801644455969	0.00505444406658295	-1.58801644455969	1019	758	973	234	199	102	740.139376313725	642.646916416842	660.15555871456	229.204129358139	237.644495286551	212.691995214008	Up_hep_Down_hep_wssv
XM_027351342.1	60.2168172087707	262.023656924855	-0.948335488331403	0.99425696450116	-2.12145871122727	0.00574303549883959	2.12145871122727	61	108	66	310	280	71	44.3066751277107	91.5644683021358	44.7793081964655	303.646496158218	334.374164222283	148.050310394064	Down_hep_Up_hep_wssv
XM_027351343.1	61.4051513105195	231.172181535994	-0.998302340164085	0.996538702918005	-1.91253620509935	0.00346129708199472	1.91253620509935	61	97	85	276	178	101	44.3066751277107	82.2384576417331	57.6703211621147	270.343332063446	212.56643296988	210.606779574655	Down_hep_Up_hep_wssv
XM_027351344.1	57.1560115585432	236.808879465948	-0.970041868272006	0.994372755143013	-2.05074602636129	0.0056272448569874	2.05074602636129	64	97	63	309	207	77	46.4856919372703	82.2384576417331	42.7438850966262	302.666991331901	247.198042835759	160.561604230182	Down_hep_Up_hep_wssv
XM_027351345.1	53.691966760253	233.270894560123	-0.996573943991346	0.996434110896361	-2.11922815453593	0.00356588910363909	2.11922815453593	63	88	60	321	197	72	45.7593530007504	74.6080852832218	40.7084619967869	314.421049247703	235.256108399249	150.135526033417	Down_hep_Up_hep_wssv
XM_027351359.1	2805.46810829414	602.648007981994	1.61773370892386	0.993625837892047	2.21885400258039	0.00637416210795294	-2.21885400258039	2958	3178	5267	522	878	119	2148.51057422571	2694.36926170544	3573.52448895127	511.301519337387	1048.50184352559	248.140661083009	Up_hep_Down_hep_wssv
XM_027351369.1	879.338558793387	5706.91896561321	-1.62765185851997	0.998154861829639	-2.69822144077291	0.00184513817036092	2.69822144077291	1094	1290	1105	2173	3567	5147	794.614796552713	1093.68670471996	749.714175107491	2128.46398758648	4259.68801350315	10732.60489575	Down_hep_Up_hep_wssv
XM_027351384.1	71.6894657768355	376.237988190996	-1.49950279996619	0.998988514589315	-2.39181247646991	0.00101148541068485	2.39181247646991	96	85	108	449	301	158	69.7285379059054	72.0646278303847	73.2752315942164	439.797667016258	359.452226538954	329.464071017777	Down_hep_Up_hep_wssv
XM_027351421.1	596.244456645377	40.4085687542167	1.4002880538144	0.991702377584597	3.88317079007661	0.00829762241540311	-3.88317079007661	1284	440	712	6	25	41	932.619194491484	373.040426416109	483.073749028537	5.877028957901	29.8548360912753	85.4938412134738	Up_hep_Down_hep_wssv
XM_027351422.1	490.155126210791	149.41376064959	0.952642570172973	0.991314901725571	1.7139253882573	0.00868509827442876	-1.7139253882573	674	588	711	84	172	77	489.552443214377	498.517660756073	482.395274661924	82.2784054106139	205.401272307974	160.561604230182	Up_hep_Down_hep_wssv
XM_027351448.1	0.375438742346444	141.488037814491	-2.82900553950135	1	-8.55788683670073	0	8.55788683670073	0	0	0	71	51	141	0.363169468259924	0.423909575472851	0.339237183306557	69.5448426684951	60.9038656262015	294.015405148776	Down_hep_Up_hep_wssv
XM_027351455.1	277.424819988353	1556.43100319388	-1.58770449240848	0.999868612677982	-2.48807285317011	0.000131387322018339	2.48807285317011	338	396	370	1717	1791	407	245.502560543709	335.736383774498	251.035515646852	1681.809786786	2138.80045757896	848.682765216679	Down_hep_Up_hep_wssv
XM_027351456.1	279.610938893045	1569.59080417642	-1.6169759401543	0.998506373348189	-2.48889578651263	0.00149362665181141	2.48889578651263	397	386	329	1596	1836	457	288.35655779838	327.258192265041	223.218066615715	1563.28970280166	2192.53916254325	952.94354718433	Down_hep_Up_hep_wssv
XM_027351457.1	302.050579068445	1671.08414243454	-1.59488922967871	0.999691455088923	-2.46792232029852	0.000308544911077013	2.46792232029852	464	400	339	1826	1932	440	337.021266545209	339.127660378281	230.002810281846	1788.57581285454	2307.18173313375	917.494881315329	Down_hep_Up_hep_wssv
XM_027351542.1	18.2611126350182	57.3225784240154	-0.675647090718084	0.98046721494003	-1.65032883459509	0.0195327850599701	1.65032883459509	39	16	19	58	65	18	28.3272185242741	13.5651064151312	12.8910129656492	56.8112799263763	77.6225738373157	37.5338815083544	Down_hep_Up_hep_wssv
XM_027351561.1	3100.74321672662	11124.3588253581	-1.83433468418595	0.997125717941797	-1.84303622442246	0.00287428205820328	1.84303622442246	4230	3482	4831	11330	5007	7815	3072.41370147896	2952.10628359293	3277.70966510796	11097.7896821697	5979.32657236061	16295.9602215438	Down_hep_Up_hep_wssv
XM_027351569.1	131.409166449784	16.3726047305929	1.16228704194777	0.996976863998433	3.0047101497248	0.00302313600156723	-3.0047101497248	189	83	275	27	12	4	137.278059002251	70.3689895284932	186.580450818606	26.4466303105545	14.3303213238121	8.34086255741208	Up_hep_Down_hep_wssv
XM_027351570.1	124.218641285555	13.9018990620577	1.1667398100817	0.996763349974763	3.15952781249073	0.00323665002523688	-3.15952781249073	206	67	245	24	10	3	149.625820923089	56.803883113362	166.226219820213	23.508115831604	11.9419344365101	6.25564691805906	Up_hep_Down_hep_wssv
XM_027351586.1	737.078335275838	1.85257461558978	2.68591797221282	1	8.6361424934182	0	-8.6361424934182	1936	499	563	4	0	0	1406.19218110243	423.061756321905	381.981068403183	3.91801930526733	0.597096721825505	1.04260781967651	Up_hep_Down_hep_wssv
XM_027351598.1	651.487229498119	4.18505500717275	2.09555520728384	0.988712529729117	7.2823465037546	0.0112874702708833	-7.2823465037546	1872	355	433	2	8	0	1359.70648916515	300.975798585724	293.779400743479	1.95900965263367	9.55354754920808	1.04260781967651	Up_hep_Down_hep_wssv
XM_027351627.1	1804.61237150989	13062.6241478765	-1.581346424187	0.999945522425035	-2.85568386230526	5.44775749652393e-05	2.85568386230526	2092	2868	2156	7175	3925	13175	1519.50105519952	2431.54532491227	1462.79073441787	7027.94712882327	4687.20926633021	27472.716048476	Down_hep_Up_hep_wssv
XM_027351643.1	35.4633766942046	107.191217933457	-0.794480980529516	0.988477880332647	-1.59578489602961	0.0115221196673526	1.59578489602961	33	50	59	106	109	42	23.969184905155	42.3909575472851	40.0299876301737	103.827511589584	130.16708535796	87.5790568528268	Down_hep_Up_hep_wssv
XM_027351730.1	306.819187839831	98.6790924978261	0.933831587178088	0.990078214736206	1.63657235576925	0.00992178526379361	-1.63657235576925	454	299	497	76	100	49	329.757877180011	253.497926132765	337.201760206718	74.4423668000793	119.419344365101	102.175566328298	Up_hep_Down_hep_wssv
XM_027351740.1	123.499180982106	745.008900842798	-1.07012731339655	0.991830639870092	-2.59275618776113	0.00816936012990832	2.59275618776113	24	294	153	1119	615	194	17.4321344764763	249.258830378036	103.806578091807	1096.06590064854	734.428967845371	404.531834034486	Down_hep_Up_hep_wssv
XM_027351748.1	274.355100045813	26.3798148482066	1.61244109562668	0.99407527969192	3.37853805071908	0.00592472030808044	-3.37853805071908	312	369	418	40	16	10	226.617748194192	312.845266698964	283.602285244282	39.1801930526733	19.1070950984162	20.8521563935302	Up_hep_Down_hep_wssv
XM_027351757.1	511.942676555343	170.283481072824	0.902449695636364	0.989947179560025	1.58804378898391	0.0100528204399746	-1.58804378898391	618	493	986	198	96	97	448.877462769266	417.974841416231	668.975725480531	193.941955610733	114.642570590497	202.265917017243	Up_hep_Down_hep_wssv
XM_027351780.1	43.477395764825	164.492837408848	-0.875617532199771	0.986573274139541	-1.91968733270903	0.0134267258604589	1.91968733270903	57	69	45	223	150	46	41.4013193816313	58.4995214152534	30.5313464975901	218.429576268654	179.129016547652	95.9199194102389	Down_hep_Up_hep_wssv
XM_027351782.1	90.2082811709016	343.98160126556	-0.903406495041254	0.9885112894165	-1.9309996158741	0.0114887105835004	1.9309996158741	137	105	121	577	218	99	99.5084343032191	89.0210108492987	82.0953983601868	565.174284784812	260.33417071592	206.436348295949	Down_hep_Up_hep_wssv
XM_027351794.1	39.5042213842543	143.541227762815	-0.848546824801625	0.986200184562007	-1.86138643410911	0.0137998154379932	1.86138643410911	56	63	36	189	127	45	40.6749804451115	53.4126065095792	24.4250771980721	185.126412173881	151.662567343678	93.8347037708859	Down_hep_Up_hep_wssv
XM_027351808.1	347.134516216613	79.3435326038554	1.14616390332246	0.996934958607083	2.12931028510474	0.0030650413929173	-2.12931028510474	525	292	608	67	85	34	381.32794167292	247.563192076145	412.512414900774	65.6268233632278	101.506442710336	70.8973317380027	Up_hep_Down_hep_wssv
XM_027351948.1	82.628819396611	871.755845653837	-1.5251131025238	0.999936301384476	-3.3992071734358	6.36986155237995e-05	3.3992071734358	59	133	136	1475	713	153	42.853997254671	112.759947075778	92.2725138593836	1444.76961881733	851.45992532317	319.037992821012	Down_hep_Up_hep_wssv
XM_027351966.1	181.71598076926	33.3977512123594	1.06919138174068	0.993877145233313	2.44386243167123	0.0061228547666865	-2.44386243167123	295	175	269	32	14	25	214.269986273355	148.368351415498	182.509604618928	31.3441544421386	16.7187082111141	52.1303909838255	Up_hep_Down_hep_wssv
XM_027351973.1	137.055583382028	32.5092557795463	0.982927727108803	0.994568345594941	2.07583866747436	0.00543165440505866	-2.07583866747436	203	135	220	46	16	16	147.446804113529	114.45558537767	149.264360654885	45.0572220105743	19.1070950984162	33.3634502296483	Up_hep_Down_hep_wssv
XM_027351987.1	20486.2894848869	72854.0232303247	-2.2819807416587	0.999989295120628	-1.83034994030456	1.07048793720477e-05	1.83034994030456	28326	25159	28821	53092	50110	51178	20574.2767158612	21330.2820186429	19554.3097201566	52003.8702388133	59841.0334613521	106717.165990809	Down_hep_Up_hep_wssv
XM_027351997.1	472.500953565013	3251.11166178694	-1.76099303481068	0.999882270718167	-2.78254396130104	0.000117729281833179	2.78254396130104	574	604	720	2118	4656	1016	416.918549562393	512.082767171204	488.501543961442	2074.59122213905	5560.1646736391	2118.57908958267	Down_hep_Up_hep_wssv
XM_027351999.1	209.899752277402	751.608617985032	-1.0838453452064	0.992509387573718	-1.84028114490224	0.00749061242628246	1.84028114490224	269	289	279	1072	616	225	195.385173923839	245.019734623308	189.294348285059	1050.02917381164	735.623161289022	469.173518854429	Down_hep_Up_hep_wssv
XM_027352069.1	165.815267091802	2010.69986983834	-1.94953473764695	0.996218301877188	-3.60004900048117	0.00378169812281248	3.60004900048117	75	268	318	3131	1163	756	54.4754202389886	227.215532453448	215.75484858297	3066.829611198	1388.84697496612	1576.42302335088	Down_hep_Up_hep_wssv
XM_027352072.1	38.0301601687754	8.66095356353118	0.869797076654058	0.989257321063957	2.13454623678056	0.0107426789360429	-2.13454623678056	38	58	55	4	8	6	27.6008795877542	49.1735107548507	37.3160901637213	3.91801930526733	9.55354754920808	12.5112938361181	Up_hep_Down_hep_wssv
XM_027352082.1	71.0880100397463	17.6804297089284	0.881102261679338	0.990149552965983	2.0074529114892	0.00985044703401705	-2.0074529114892	83	66	143	24	16	5	60.2861317311474	55.9560639624163	97.0218344256754	23.508115831604	19.1070950984162	10.4260781967651	Up_hep_Down_hep_wssv
XM_027352105.1	275.445513863941	15.0598792843201	1.24822996016732	0.995532682620049	4.19298485521754	0.00446731737995054	-4.19298485521754	238	265	632	37	0	4	172.868666891724	224.672075000611	428.795799699488	36.2416785737228	0.597096721825505	8.34086255741208	Up_hep_Down_hep_wssv
XM_027352127.1	20.0310967342839	75.8471548938999	-0.906882545794025	0.988900488760451	-1.92085365133511	0.0110995112395491	1.92085365133511	33	17	32	53	65	47	23.969184905155	14.4129255660769	21.7111797316197	51.9137557947921	77.6225738373157	98.0051350495919	Down_hep_Up_hep_wssv
XM_027352133.1	1107.59006814253	76217.6652575564	-2.74313950870102	1	-6.1046294881651	0	6.1046294881651	1510	897	2160	30935	30690	77547	1096.77179414497	760.493778398295	1465.50463188433	30300.9818021112	36649.7967856495	161702.217184909	Down_hep_Up_hep_wssv
XM_027352147.1	2561.49136321603	544.216717023057	1.37092674893935	0.995686815585179	2.23473084886328	0.00431318441482065	-2.23473084886328	4619	1239	4833	973	267	173	3354.95954778518	1050.44792802172	3279.06661384118	953.058196006278	318.84964945482	360.742305608072	Up_hep_Down_hep_wssv
