ID	limma	edgeR	DESeq2	NOISeq
XM_027359967.1	1	1	1	1
XM_027360025.1	1	1	1	1
XM_027360041.1	1	1	1	1
XM_027360042.1	1	1	1	1
XM_027360064.1	1	1	1	1
XM_027360065.1	1	1	1	1
XM_027360068.1	1	1	1	1
XM_027360096.1	1	1	1	1
XM_027360097.1	1	1	1	1
XM_027360133.1	1	1	1	1
XM_027360173.1	1	1	1	1
XM_027360175.1	1	1	1	1
XM_027360177.1	1	1	1	1
XM_027360285.1	1	1	1	1
XM_027360304.1	1	1	1	1
XM_027360305.1	1	1	1	1
XM_027360324.1	1	1	1	1
XM_027360361.1	1	1	1	1
XM_027360455.1	1	1	1	1
XM_027360461.1	1	1	1	1
XM_027360477.1	1	1	1	1
XM_027360478.1	1	1	1	1
XM_027360479.1	1	1	1	1
XM_027360481.1	1	1	1	1
XM_027360509.1	1	1	1	1
XM_027360583.1	1	1	1	1
XM_027360587.1	1	1	1	1
XM_027360589.1	1	1	1	1
XM_027360632.1	1	1	1	1
XM_027360635.1	1	1	1	1
XM_027360636.1	1	1	1	1
XM_027360637.1	1	1	1	1
XM_027360639.1	1	1	1	1
XM_027360722.1	1	1	1	1
XM_027360726.1	1	1	1	1
XM_027360727.1	1	1	1	1
XM_027360756.1	1	1	1	1
XM_027360790.1	1	1	1	1
XM_027360825.1	1	1	1	1
XM_027360834.1	1	1	1	1
XM_027360837.1	1	1	1	1
XM_027360855.1	1	1	1	1
XM_027360856.1	1	1	1	1
XM_027360937.1	1	1	1	1
XM_027360943.1	1	1	1	1
XM_027360944.1	1	1	1	1
XM_027360966.1	1	1	1	1
XM_027360972.1	1	1	1	1
XM_027361114.1	1	1	1	1
XM_027361127.1	1	1	1	1
XM_027361128.1	1	1	1	1
XM_027361146.1	1	1	1	1
XM_027361154.1	1	1	1	1
XM_027361177.1	1	1	1	1
XM_027361178.1	1	1	1	1
XM_027361199.1	1	1	1	1
XM_027361236.1	1	1	1	1
XM_027361251.1	1	1	1	1
XM_027361274.1	1	1	1	1
XM_027361330.1	1	1	1	1
XM_027361332.1	1	1	1	1
XM_027361337.1	1	1	1	1
XM_027361344.1	1	1	1	1
XM_027361469.1	1	1	1	1
XM_027361735.1	1	1	1	1
XM_027361742.1	1	1	1	1
XM_027361754.1	1	1	1	1
XM_027361761.1	1	1	1	1
XM_027361794.1	1	1	1	1
XM_027361848.1	1	1	1	1
XM_027361942.1	1	1	1	1
XM_027361994.1	1	1	1	1
XM_027362000.1	1	1	1	1
XM_027362049.1	1	1	1	1
XM_027362052.1	1	1	1	1
XM_027362072.1	1	1	1	1
XM_027362078.1	1	1	1	1
XM_027362108.1	1	1	1	1
XM_027362109.1	1	1	1	1
XM_027362128.1	1	1	1	1
XM_027362174.1	1	1	1	1
XM_027362219.1	1	1	1	1
XM_027362292.1	1	1	1	1
XM_027362406.1	1	1	1	1
XM_027362546.1	1	1	1	1
XM_027362551.1	1	1	1	1
XM_027362555.1	1	1	1	1
XM_027362556.1	1	1	1	1
XM_027362557.1	1	1	1	1
XM_027362558.1	1	1	1	1
XM_027362559.1	1	1	1	1
XM_027362560.1	1	1	1	1
XM_027362561.1	1	1	1	1
XM_027362562.1	1	1	1	1
XM_027362563.1	1	1	1	1
XM_027362564.1	1	1	1	1
XM_027362565.1	1	1	1	1
XM_027362566.1	1	1	1	1
XM_027362567.1	1	1	1	1
XM_027362725.1	1	1	1	1
XM_027362741.1	1	1	1	1
XM_027362892.1	1	1	1	1
XM_027362923.1	1	1	1	1
XM_027363028.1	1	1	1	1
XM_027363113.1	1	1	1	1
XM_027363150.1	1	1	1	1
XM_027363201.1	1	1	1	1
XM_027363245.1	1	1	1	1
XM_027363289.1	1	1	1	1
XM_027363298.1	1	1	1	1
XM_027363423.1	1	1	1	1
XM_027363516.1	1	1	1	1
XM_027363523.1	1	1	1	1
XM_027363531.1	1	1	1	1
XM_027363589.1	1	1	1	1
XM_027363605.1	1	1	1	1
XM_027363621.1	1	1	1	1
XM_027363627.1	1	1	1	1
XM_027363677.1	1	1	1	1
XM_027363687.1	1	1	1	1
XM_027363730.1	1	1	1	1
XM_027363812.1	1	1	1	1
XM_027363874.1	1	1	1	1
XM_027363935.1	1	1	1	1
XM_027363936.1	1	1	1	1
XM_027363937.1	1	1	1	1
XM_027364034.1	1	1	1	1
XM_027364039.1	1	1	1	1
XM_027364040.1	1	1	1	1
XM_027364041.1	1	1	1	1
XM_027364042.1	1	1	1	1
XM_027364043.1	1	1	1	1
XM_027364044.1	1	1	1	1
XM_027364045.1	1	1	1	1
XM_027364047.1	1	1	1	1
XM_027364092.1	1	1	1	1
XM_027364144.1	1	1	1	1
XM_027364145.1	1	1	1	1
XM_027364146.1	1	1	1	1
XM_027364196.1	1	1	1	1
XM_027364235.1	1	1	1	1
XM_027364241.1	1	1	1	1
XM_027364307.1	1	1	1	1
