#rname	numreads
XM_027352437.1	99
XM_027352438.1	20
XM_027352439.1	23
XM_027352440.1	16
XM_027352441.1	21
XM_027352442.1	4
XM_027352443.1	29
XM_027352444.1	19
XM_027352445.1	18
XM_027352446.1	15
XM_027352447.1	18
XM_027352448.1	18
XM_027352449.1	204
XM_027352451.1	209
XM_027352453.1	499
XM_027352454.1	58
XM_027352455.1	57
XM_027352456.1	115
XM_027352457.1	2
XM_027352458.1	59
XM_027352459.1	52
XM_027352460.1	65
XM_027352472.1	28
XM_027352477.1	2
XM_027352479.1	2
XM_027352480.1	642
XM_027352481.1	3
XM_027352483.1	2
XM_027352485.1	20187
XM_027352486.1	40
XM_027352487.1	2
XM_027352489.1	42
XM_027352490.1	1168
XM_027352491.1	1193
XM_027352492.1	3078
XM_027352493.1	634
XM_027352495.1	39077
XM_027352496.1	58
XM_027352501.1	4
XM_027352503.1	12
XM_027352504.1	40
XM_027352505.1	173
XM_027352506.1	129
XM_027352507.1	62
XM_027352508.1	53
XM_027352509.1	42
XM_027352510.1	462
XM_027352511.1	344
XM_027352512.1	150
XM_027352514.1	172
XM_027352525.1	22
XM_027352526.1	84
XM_027352528.1	8
XM_027352529.1	42
XM_027352530.1	100
XM_027352531.1	52
XM_027352532.1	27
XM_027352533.1	66
XM_027352535.1	4
XM_027352536.1	81
