ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	ovary_1	ovary_2	ovary_3	ovary_4	ovary_5	muscle_1	muscle_2	muscle_3	muscle_4	muscle_5	ovary_1_normalized	ovary_2_normalized	ovary_3_normalized	ovary_4_normalized	ovary_5_normalized	muscle_1_normalized	muscle_2_normalized	muscle_3_normalized	muscle_4_normalized	muscle_5_normalized	Expression
XM_027356041.1	-6.07080630475016	-0.352298605174013	-6.2418689884076	4.3155603931007e-05	0.000224848439521896	2.45051981142808	456	1278	887	928	537	246	0	0	0	0	4.36077879339296	10.9962028996107	7.59681513628943	6.59622145893776	5.06173861509502	3.22924758765884	0	0	0	0	Up_ovary_Down_muscle
XM_027356044.1	14.2330359233235	-0.00325919225407123	10.5857704930353	1.93768046710381e-07	3.00996237624674e-06	7.40372333083421	0	0	6	0	0	20909	449	890	1129	11654	0	0	0.0513877010346523	0	0	274.472917928287	45.5733460287327	69.3346235271386	106.428803775628	550.979674161063	Down_ovary_Up_muscle
XM_027356084.1	1.74556725759558	6.89919916507972	8.61920543004847	1.74448082570857e-06	1.75422032996517e-05	5.36970105283196	6824	8202	8455	7845	6771	13236	2565	3544	2317	3831	65.2586721186701	70.571874947267	72.4138353746642	55.7622385187141	63.8231511411702	173.749272643302	260.34662040913	276.092028966493	218.419431663535	181.122630145103	Down_ovary_Up_muscle
XM_027356091.1	2.23156165714612	2.47374905539496	6.31399739835579	3.87424921346383e-05	0.000208025253050478	2.28827746357612	321	190	241	398	320	574	220	254	120	174	3.06975875587531	1.63480324798595	2.0640726582252	2.82898291019098	3.01630606486109	7.53491103787062	22.3299245575082	19.7876341302171	11.3121846351421	8.22639980298824	Down_ovary_Up_muscle
XM_027356094.1	2.00028676714266	5.14717226541818	7.39787019831923	8.320629748114e-06	6.03129091624626e-05	3.7518581540889	1795	2053	1778	2616	2100	2777	804	1219	1020	1426	17.1657849432903	17.6644793058692	15.2278887399353	18.5945208368332	19.7945085506509	36.4537420769455	81.6057242919846	94.9650630107662	96.1535693987076	67.4186558566738	Down_ovary_Up_muscle
XM_027356096.1	-2.31168363848419	1.94420547522909	-4.14951634461318	0.00134905323031012	0.00356333365770981	-1.11154436504463	1199	935	951	1533	998	191	1	26	23	111	11.4661705554346	8.04495282561505	8.14495061399239	10.8965598023185	9.40710453978554	2.50726133838552	0.101499657079583	2.02550585584899	2.16816872173556	5.24787573638905	Up_ovary_Down_muscle
XM_027356101.1	1.99097264982222	1.77187311245589	6.58316039572161	2.60651867250573e-05	0.000152250222459294	2.76084836281048	184	175	209	210	198	343	66	104	58	249	1.75961249557962	1.50573983367127	1.79000491937372	1.49267942497514	1.8663393776328	4.50256879092269	6.69897736725246	8.10202342339597	5.46755590698533	11.7722617870349	Down_ovary_Up_muscle
XM_027356105.1	-6.05026860266045	-0.00272022815862816	-6.89473945004557	1.66738552827499e-05	0.000105398616978342	3.35975466310016	596	698	992	1902	1109	91	0	0	4	0	5.69961438785572	6.0057508794431	8.49609990439584	13.5194107919177	10.4533857060342	1.19455906697949	0	0	0.377072821171402	0	Up_ovary_Down_muscle
XM_027356106.1	-5.43235257688953	-0.655976641521675	-8.19069571590145	2.9608624273488e-06	2.65073919281976e-05	4.97368846334904	357	367	538	801	502	54	0	0	0	2	3.41403076588002	3.15775153689917	4.60776385944049	5.69350580669089	4.73183013925084	0.708859226559257	0	0	0	0.0945563195745775	Up_ovary_Down_muscle
XM_027356114.1	2.0523690209587	2.17539895457063	5.81390341898486	8.30661739693213e-05	0.000378708295228924	1.53196059950143	291	244	286	256	179	599	153	180	118	87	2.78286541420472	2.09943153951879	2.44948041598509	1.81964729901731	1.68724620503167	7.86308660572213	15.5294475331762	14.0227328481853	11.1236482245564	4.11319990149412	Down_ovary_Up_muscle
XM_027356116.1	1.96527444365701	2.15444984727632	5.73517663571752	9.39606329019489e-05	0.000417932430622642	1.40834861068872	294	258	297	215	221	648	134	160	109	84	2.81155474837178	2.21989072621249	2.54369120121529	1.52821941128407	2.08313637604469	8.50631071871108	13.6009540486641	12.4646514206092	10.2752343769207	3.97136542213226	Down_ovary_Up_muscle
XM_027356129.1	-2.5388542013536	3.28770431867007	-7.3452471667689	8.93484907600214e-06	6.35805239667728e-05	3.86590571620964	2309	3642	3155	3635	2625	614	30	25	39	75	22.0812241972464	31.3365969956043	27.021366127388	25.8375700465935	24.7431356883137	8.05999194643303	3.04498971238748	1.94760178447018	3.67646000642117	3.54586198404666	Up_ovary_Down_muscle
XM_027356130.1	-3.21286994699152	-0.123014054921989	-3.80063374325463	0.00252891904478846	0.00603858908332053	-1.52928678650272	323	404	403	408	268	136	2	0	0	39	3.08888497865335	3.47610795887538	3.45154058616081	2.90006288280884	2.52615632932117	1.7852750891122	0.202999314159166	0	0	1.84384823170426	Up_ovary_Down_muscle
