ID	logFC	logCPM	PValue	FDR	muscle_1	muscle_2	muscle_3	muscle_4	muscle_5	muscle_6	hemocytes_1	hemocytes_2	hemocytes_3	hemocytes_4	hemocytes_5	hemocytes_6	muscle_1_normalized	muscle_2_normalized	muscle_3_normalized	muscle_4_normalized	muscle_5_normalized	muscle_6_normalized	hemocytes_1_normalized	hemocytes_2_normalized	hemocytes_3_normalized	hemocytes_4_normalized	hemocytes_5_normalized	hemocytes_6_normalized	Expression
XM_027366525.1	1.89919892546351	2.02065124209215	8.08191473778793e-11	3.8376349869934e-10	30	18	20	34	43	26	431	275	292	959	965	718	2.5523253144621	1.28700891834059	1.81687640397457	1.28595328454103	2.10718273144031	1.15866914067811	5.72593807620983	6.55994701048036	6.50176652674386	6.93659284689853	6.11347245435594	5.74170986691973	Down_muscle_Up_hemocytes
XM_027366526.1	1.92230215697676	2.00018124400885	1.81524707024082e-11	9.13117797086154e-11	18	26	19	26	34	47	334	284	257	926	1071	849	1.53139518867726	1.85901288204751	1.72603258377584	0.983376041119611	1.66614448532489	2.09451729276428	4.43726987808372	6.7746361853688	5.72244519648346	6.69789882818357	6.78500414364271	6.78929202926859	Down_muscle_Up_hemocytes
XM_027366527.1	-4.27073784945454	5.55598966722062	1.14417795724248e-11	5.8381360920383e-11	1436	2115	1827	645	935	628	384	388	280	377	398	255	122.171305052253	151.223547905019	165.971659503077	24.3952902508519	45.8189733464346	27.9863161671482	5.10153183588069	9.25548887296865	6.23457064208315	2.72689833501642	2.52141143713333	2.03918665190046	Up_muscle_Down_hemocytes
XM_027366559.1	1.81901397014493	2.66962655755985	2.6274346655325e-05	6.9197944875117e-05	41	30	13	81	107	33	797	774	510	878	967	751	3.48817792976488	2.14501486390098	1.18096966258347	3.06359458964186	5.24345470381658	1.47061852470683	10.5883356072836	18.4632690404065	11.35582509808	6.35070752823453	6.12614286358777	6.00560461010685	Down_muscle_Up_hemocytes
XM_027366565.1	1.69531921493318	1.16941570432673	0.000984802593540193	0.00206361859989092	2	6	5	36	47	29	239	226	214	298	375	278	0.17015502096414	0.429002972780196	0.454219100993641	1.36159759539638	2.30319972971382	1.29236173383328	3.17517215826949	5.39108372497658	4.76499327644927	2.15547932051696	2.37570173096734	2.22311329109148	Down_muscle_Up_hemocytes
XM_027366590.1	5.57974583671869	2.91707388119173	8.12177032016726e-08	2.86873571038312e-07	0	0	0	8	0	32	1650	1017	628	1310	1460	1099	0	0	0	0.302577243421419	0	1.42605432698845	21.9206446072998	24.2598767623946	13.9832512972436	9.47542922777589	9.24939873923283	8.78849462917101	Down_muscle_Up_hemocytes
XM_027366592.1	1.70556383925338	2.6137740855688	6.41017492010474e-07	2.05901125633987e-06	35	32	24	67	98	49	834	527	595	804	1009	816	2.97771286687246	2.28801585482771	2.18025168476948	2.53408441365438	4.80241645770116	2.18364568820106	11.0798894560534	12.5712439073569	13.2484626144267	5.81545427414642	6.39222145745611	6.52539728608147	Down_muscle_Up_hemocytes
XM_027366594.1	-1.60880592522105	2.07116786113584	2.84860703999881e-08	1.05479236952734e-07	97	113	56	134	149	97	130	93	64	324	343	316	8.25251851676081	8.07955598736035	5.08725393112878	5.06816882730876	7.30163318568851	4.32272717868373	1.72708109027211	2.21845480718063	1.42504471819043	2.34354127465602	2.17297518325812	2.52699208627665	Up_muscle_Down_hemocytes
XM_027366601.1	5.51898358016429	7.30433731972623	8.68979971166514e-16	6.1951736440211e-15	56	62	53	203	40	375	38490	21165	21225	16902	19577	15015	4.76434058699593	4.43303071872869	4.8147224705326	7.6778975518185	1.96016998273517	16.7115741443958	511.348855112103	504.877376279334	472.602720993625	122.254736494556	124.024300765727	120.072108150139	Down_muscle_Up_hemocytes
XM_027366605.1	-2.23454017127655	2.44854730149537	8.20172407025752e-08	2.89617723308735e-07	168	175	130	127	110	127	120	51	39	299	430	361	14.2930217609878	12.512586706089	11.8096966258347	4.80341373931502	5.39046745252172	5.65965311023539	1.59422869871271	1.21657199103454	0.868386625147296	2.16271247259923	2.72413798484254	2.88684855425908	Up_muscle_Down_hemocytes
XM_027366606.1	-2.02227004738954	2.49625127807468	4.12184510886856e-07	1.35249363738951e-06	184	178	99	122	132	140	154	61	45	403	435	396	15.6542619287009	12.7270881924791	8.9935381996741	4.61430296217664	6.46856094302606	6.23898768057445	2.04592683001465	1.45511551868837	1.00198456747765	2.91496028915548	2.75581400792211	3.16673691824542	Up_muscle_Down_hemocytes
XM_027366616.1	2.02956443464565	3.78542765351832	0.000836863601933262	0.00177571605271762	22	15	28	478	107	76	1649	1817	941	2168	2278	1993	1.87170523060554	1.07250743195049	2.54362696556439	18.0789902944298	5.24345470381658	3.38687902659756	21.9073593681439	43.3433589747011	20.9526106221437	15.681473714365	14.4315961150496	15.937643126422	Down_muscle_Up_hemocytes
XM_027366617.1	2.09427975667117	3.79997765835991	0.000217634691939556	0.000504085276515927	28	27	22	441	117	59	1718	1807	992	2178	2340	2023	2.38217029349796	1.93051337751088	1.99856404437202	16.6795705436057	5.73349719950037	2.62928766538495	22.8240408699037	43.1048154470473	22.0881931319517	15.7538052351877	14.8243788012362	16.1775474384103	Down_muscle_Up_hemocytes
XM_027366618.1	2.32166656659207	4.08441066288231	0.000129588026721024	0.000311132828883479	26	26	17	485	131	72	2091	2383	1135	2812	3070	2406	2.21201527253382	1.85901288204751	1.54434494337838	18.3437453824235	6.41955669345768	3.208622235724	27.779435075069	56.844922639908	25.2722774241585	20.3396236553479	19.4490781708526	19.2403258214608	Down_muscle_Up_hemocytes
XM_027366619.1	1.92255454243495	3.53640933739308	0.0019799629729311	0.00393868897320057	22	15	18	433	118	44	1505	1409	766	1820	2033	1603	1.87170523060554	1.07250743195049	1.63518876357711	16.3769933001843	5.78250144906875	1.96082469960911	19.9942849296886	33.6107830464248	17.0560039708418	13.1643367897344	12.8794709841509	12.8188870705743	Down_muscle_Up_hemocytes
