ID	FDR
XM_027379525.1	5.71187903775823e-57
XM_027364911.1	7.53041730362607e-57
XM_027378230.1	9.12673263030226e-57
XM_027375348.1	9.40153771518726e-57
XM_027375344.1	1.10232177368568e-56
XM_027373824.1	1.15562316487159e-56
XM_027374288.1	1.38397704471843e-56
XM_027383256.1	1.67109007656617e-56
XM_027373795.1	1.71137384422206e-56
XM_027369687.1	1.78427591265462e-56
XM_027376153.1	1.83352494266128e-56
XM_027366234.1	2.33349874096494e-56
XR_003477669.1	2.71666847716104e-56
XM_027354094.1	2.94992922104751e-56
XM_027365314.1	4.35080073192717e-56
XM_027373157.1	4.65739660334815e-56
XM_027357115.1	6.4392805032714e-56
XM_027373828.1	6.60142554571329e-56
XM_027378229.1	6.8270718751639e-56
XR_003476604.1	7.2570494165655e-56
XM_027357579.1	1.10303154877429e-55
XM_027367880.1	1.14677491001875e-55
XR_003476022.1	1.22968764354817e-55
XM_027351555.1	1.29366197126466e-55
XM_027371250.1	1.29726720075618e-55
XM_027365519.1	1.39600987386362e-55
XM_027375361.1	1.59563750844085e-55
XM_027374772.1	1.69027127098411e-55
XM_027363241.1	1.9663054778295e-55
XM_027351137.1	2.04898932618516e-55
XM_027379145.1	2.11297410593479e-55
XM_027379161.1	3.65104764397389e-55
XM_027362910.1	3.65786151671978e-55
XM_027356770.1	3.70465096877776e-55
XM_027375794.1	3.76151816514647e-55
XM_027352568.1	5.40997841727539e-55
XM_027356949.1	6.81497850012469e-55
XM_027354162.1	7.13971623941306e-55
XM_027352495.1	7.49185864031403e-55
XM_027353425.1	7.69905236947815e-55
XM_027381966.1	8.5890604938737e-55
XM_027375239.1	1.13192322660159e-54
XM_027357578.1	1.39949821195207e-54
XM_027359091.1	1.4688001551267e-54
XM_027366682.1	1.56519307494844e-54
XM_027352569.1	1.65822613093843e-54
XM_027375342.1	2.0579626734903e-54
XM_027381114.1	2.22432631547599e-54
XM_027380874.1	2.51658549647956e-54
XM_027351668.1	3.13091292414391e-54
XM_027369548.1	3.39862270594762e-54
XM_027381339.1	4.53320016487844e-54
XM_027374909.1	4.62764395265394e-54
XM_027379366.1	4.87642097094791e-54
XM_027363390.1	5.89177594777555e-54
XM_027378697.1	6.14318308134388e-54
XM_027351558.1	6.17579657234354e-54
XM_027359184.1	6.29261922091237e-54
XM_027381967.1	6.29261922091237e-54
XM_027356405.1	7.305943788755e-54
XM_027362399.1	7.49910463759534e-54
XM_027357843.1	7.88059525260188e-54
XM_027371819.1	8.31712922867794e-54
XM_027362906.1	1.10165198961955e-53
XM_027360690.1	1.38227326713606e-53
XM_027374289.1	1.45715172994186e-53
XM_027356912.1	1.4871475066209e-53
XM_027353423.1	1.85230821596002e-53
XM_027378603.1	1.89822867879327e-53
XM_027380833.1	2.33939962480731e-53
XM_027372143.1	2.34324446487123e-53
XM_027372482.1	2.38919892230443e-53
XM_027351791.1	2.6843883624293e-53
XM_027353370.1	2.76436039544716e-53
XM_027363319.1	3.47760639038055e-53
XM_027371252.1	3.49770042713039e-53
XM_027375237.1	3.6573987515128e-53
XM_027360500.1	4.54884534094546e-53
XM_027371253.1	4.54884534094546e-53
XM_027362138.1	4.6377327054108e-53
XM_027372255.1	5.2186702494636e-53
XM_027380885.1	5.64284117268658e-53
XM_027365592.1	6.76802152086571e-53
XM_027356789.1	6.89757884895492e-53
XM_027380822.1	7.19715308694027e-53
XM_027369089.1	7.47081587311624e-53
XM_027362539.1	8.14365623045487e-53
XM_027381968.1	9.03549777398871e-53
XM_027352696.1	9.34278233766664e-53
XR_003476211.1	1.02958668521996e-52
XM_027379160.1	2.06128493224328e-52
XM_027353719.1	2.14033359732323e-52
XM_027375907.1	2.35786819673222e-52
XM_027369183.1	2.38070704027006e-52
XM_027353424.1	2.44918278969068e-52
XM_027383260.1	3.0278663572552e-52
XM_027375317.1	3.43818406859725e-52
XM_027380876.1	3.74042784378637e-52
XM_027359230.1	4.30149043334093e-52
XR_003477405.1	4.30149043334093e-52
XM_027364873.1	4.40761548906982e-52
XM_027369416.1	4.60925796849346e-52
XM_027379121.1	5.6583827128795e-52
XM_027359231.1	6.42789691584279e-52
XM_027368825.1	7.02767577606634e-52
XM_027377836.1	7.04372010712821e-52
XM_027359234.1	7.17000648974486e-52
XM_027380875.1	8.27710502933085e-52
XM_027363410.1	8.35544422158969e-52
XM_027359274.1	9.4237067283698e-52
XM_027351138.1	1.122690996088e-51
XM_027376843.1	1.122690996088e-51
XM_027355829.1	1.231217411942e-51
XM_027372639.1	1.53340577353823e-51
XM_027364872.1	1.83027144403544e-51
XM_027372954.1	1.92229050453215e-51
XM_027362057.1	2.05470573068274e-51
XM_027375142.1	2.05470573068274e-51
XM_027379428.1	2.06253895001745e-51
XM_027365137.1	2.46660599635264e-51
XM_027380421.1	2.57105708697551e-51
XM_027355828.1	2.65562054249538e-51
XM_027379114.1	2.80897659182751e-51
XM_027382644.1	3.15494259375069e-51
XM_027363321.1	3.23875508940179e-51
XM_027358146.1	3.38772521845694e-51
XM_027380803.1	3.46809913626641e-51
XM_027359031.1	3.60401300590623e-51
XM_027361741.1	4.36359375883222e-51
XM_027352699.1	4.75111108640528e-51
XM_027370159.1	4.75111108640528e-51
XM_027357099.1	5.04873559726553e-51
XM_027365477.1	5.55178667460175e-51
XM_027358147.1	5.5899033940032e-51
XM_027352587.1	6.61645191438322e-51
XM_027374593.1	6.67226901371847e-51
XM_027375830.1	7.06793536641106e-51
XM_027383549.1	7.37053179811408e-51
XM_027383389.1	8.13231887502834e-51
XM_027356030.1	8.15471590068134e-51
XM_027365816.1	8.26288956525626e-51
XM_027363126.1	8.36334030841181e-51
XM_027353426.1	8.55979254461551e-51
XM_027363492.1	1.09261002794633e-50
XM_027365593.1	1.1444471121825e-50
XM_027359595.1	1.59852293534969e-50
XM_027357851.1	1.95592687102415e-50
XM_027351567.1	1.99082053987216e-50
XM_027366729.1	2.26546570031851e-50
XM_027359229.1	2.29541426393581e-50
XR_003476707.1	2.66293924512997e-50
XM_027382410.1	2.75344101507318e-50
XM_027358778.1	3.6155374805775e-50
XM_027351790.1	3.71854384978072e-50
XM_027353680.1	3.75131873195043e-50
XM_027362751.1	5.08752902313023e-50
XR_003477129.1	5.65844093151544e-50
XM_027379361.1	7.43846058986386e-50
XM_027356947.1	7.44680446166422e-50
XM_027376160.1	7.6788054899639e-50
XM_027353045.1	8.17237793956438e-50
XM_027363415.1	8.62336106697546e-50
XM_027375831.1	8.69996116796918e-50
XR_003475583.1	1.11458994907443e-49
XM_027367556.1	1.22883129063985e-49
XM_027372637.1	1.32325151080931e-49
XM_027364406.1	1.45067480768805e-49
XM_027369533.1	1.46979334885873e-49
XM_027383830.1	2.24233298319113e-49
XM_027357395.1	2.40257229604208e-49
XM_027381918.1	2.44650579754684e-49
XM_027362075.1	2.737386277507e-49
XM_027373796.1	3.50316294226263e-49
XM_027358933.1	4.09796640919105e-49
XM_027380815.1	4.2996124802715e-49
XM_027360321.1	4.46699405258302e-49
XM_027379757.1	5.08867938254551e-49
XM_027370161.1	5.23684956158562e-49
XM_027357694.1	6.26626810526371e-49
XM_027351588.1	6.27024136755714e-49
XM_027370158.1	6.40695432280775e-49
XM_027363949.1	6.41177550759282e-49
XR_003475454.1	7.37490639021507e-49
XM_027367284.1	8.03303472108211e-49
XM_027358148.1	8.17968851071818e-49
XM_027380334.1	9.21742378845291e-49
XM_027369306.1	9.47734050988183e-49
XM_027382631.1	1.04195101772452e-48
XM_027373825.1	1.15188378392289e-48
XM_027379368.1	1.30008079063917e-48
XM_027380237.1	1.51113708939409e-48
XM_027357580.1	1.59420853346126e-48
XM_027376430.1	1.70286049713328e-48
XM_027367708.1	1.70799553178062e-48
XM_027376858.1	2.26214927433319e-48
XM_027355671.1	2.30949504373727e-48
XM_027367016.1	2.80922172927664e-48
XM_027369649.1	3.06866693209924e-48
XM_027350888.1	3.11683101016977e-48
XM_027370160.1	4.18445056891476e-48
XM_027354916.1	4.25591218881709e-48
XM_027379383.1	4.41988369415825e-48
XM_027376736.1	6.14535500733827e-48
XM_027363588.1	1.16179550473645e-47
XM_027364398.1	1.17192764499991e-47
XM_027353418.1	1.23052173598268e-47
XM_027362400.1	1.56967266214544e-47
XM_027359429.1	1.66888782180214e-47
XM_027358186.1	1.72772777744974e-47
XM_027383052.1	2.28659375233411e-47
XM_027355661.1	2.88342115829474e-47
XM_027365869.1	3.32646542594358e-47
XM_027383287.1	3.95260694560386e-47
XM_027369418.1	5.00228780203564e-47
XM_027375727.1	6.52908192890377e-47
XM_027358195.1	6.71305661160632e-47
XM_027362730.1	8.50155600843141e-47
XR_003477688.1	8.5944239867714e-47
XM_027373829.1	9.10793120794082e-47
XR_003475964.1	9.12822258846011e-47
XM_027375421.1	9.55220673379916e-47
XM_027372220.1	9.61484610360032e-47
XM_027359482.1	1.01928208265027e-46
XM_027350653.1	1.04600309128094e-46
XM_027359731.1	1.08311180349792e-46
XM_027382660.1	1.1820470421563e-46
XM_027372078.1	1.2399638799288e-46
XM_027361614.1	1.25389881321029e-46
XM_027365600.1	1.30515791406074e-46
XM_027374915.1	1.35796530324969e-46
XM_027364397.1	1.74855055166945e-46
XM_027372613.1	1.8091751538003e-46
XM_027376236.1	1.83175679175294e-46
XR_003476238.1	1.83175679175294e-46
XM_027352583.1	1.9665364359003e-46
XM_027377570.1	2.45168745162079e-46
XM_027376737.1	2.56300833502629e-46
XM_027377298.1	3.14930061363611e-46
XM_027381844.1	3.14930061363611e-46
XM_027360239.1	3.4691258292507e-46
XM_027366081.1	3.62629426338144e-46
XM_027371655.1	3.82778238775604e-46
XM_027358513.1	4.00586990628521e-46
XM_027369417.1	4.09254575549778e-46
