ID	hemocytes_mean	hemocytes_wssv_mean	theta	prob	log2FC	lminusProb	log2FC_SigInv	hemocytes_1	hemocytes_2	hemocytes_3	hemocytes_wssv_1	hemocytes_wssv_2	hemocytes_wssv_3	hemocytes_1_normalized	hemocytes_2_normalized	hemocytes_3_normalized	hemocytes_wssv_1_normalized	hemocytes_wssv_2_normalized	hemocytes_wssv_3_normalized	Expression
XM_027350844.1	281.401577961196	60.313669539825	1.21086763140987	0.999555992234778	2.22207350062833	0.00044400776522191	-2.22207350062833	159	142	258	67	95	94	155.408446371882	262.441995490606	426.3542920211	48.0244195817081	78.6991166404241	54.2174723973427	Up_hemocytes_Down_hemocytes_wssv
XM_027350886.1	237.541045040004	799.725048186557	-1.1901158579496	0.993713245963872	-1.75132725503076	0.00628675403612822	1.75132725503076	294	62	188	776	1330	1285	287.359014046121	114.587350143786	310.676770930104	556.223128289634	1101.78763296594	741.164383304099	Down_hemocytes_Up_hemocytes_wssv
XM_027350894.1	216.702988822249	764.764779860443	-1.23257169147957	0.998688562648078	-1.81929703202553	0.00131143735192174	1.81929703202553	274	62	162	712	1272	1266	267.810781798086	114.587350143786	267.710834524877	510.349055853376	1053.73975122757	730.205532500381	Down_hemocytes_Up_hemocytes_wssv
XM_027350896.1	1290.45253018189	372.734842624358	1.38524455525379	0.999284196981566	1.79165548110559	0.00071580301843388	-1.79165548110559	965	1072	573	602	446	550	943.20220596771	1981.25224764739	946.903136930583	431.502993853557	369.471642332938	317.229891686579	Up_hemocytes_Down_hemocytes_wssv
XM_027350903.1	1194.44778439353	134.450839413293	1.7620292474484	0.99958119938589	3.15119311988009	0.000418800614110038	-3.15119311988009	925	940	570	371	90	109	904.105741471639	1737.29208282514	941.945528883826	265.926263653936	74.5570578698755	62.8691967160676	Up_hemocytes_Down_hemocytes_wssv
XM_027350912.1	498.975029111933	176.413082868242	0.987922534253854	0.996219255022491	1.50001006288063	0.00378074497750858	-1.50001006288063	695	243	223	312	128	346	679.301070619232	449.108485240966	368.515531475602	223.63610312676	106.036704526045	199.566440951921	Up_hemocytes_Down_hemocytes_wssv
XM_027351003.1	475.566128141098	139.74492524576	1.27591116554827	0.99811520476977	1.76685007041225	0.00188479523023	-1.76685007041225	522	326	190	188	177	239	510.208861673725	602.507679788292	313.981842961275	134.755087781509	146.628880477422	137.85080747835	Up_hemocytes_Down_hemocytes_wssv
XM_027351009.1	264.03496357336	88.6725321802791	1.17653459723626	0.99856965505034	1.57416980465658	0.0014303449496601	-1.57416980465658	282	165	128	126	100	161	275.6300746973	304.950206027817	211.524609994964	90.3145801088839	82.8411754109727	92.8618410209805	Up_hemocytes_Down_hemocytes_wssv
XM_027351017.1	2950.66688186126	539.363424720369	2.67309341255565	1	2.45171145757967	0	-2.45171145757967	2860	1943	1492	905	742	615	2795.39721146907	3591.01969886089	2465.5837352538	648.688055543968	614.681521549418	354.720697067721	Up_hemocytes_Down_hemocytes_wssv
XM_027351020.1	3001.5827350872	746.194608349647	2.03661777746547	0.998678054883388	2.0080995936288	0.00132194511661166	-2.0080995936288	2032	2240	1742	984	1007	1212	1986.1003964004	4139.93006971096	2878.71773915022	705.313863707474	834.210636388495	699.059324952972	Up_hemocytes_Down_hemocytes_wssv
XM_027351040.1	126.307643690224	21.3302092189682	1.27795274526468	0.998164680394267	2.56597192690605	0.00183531960573324	-2.56597192690605	126	91	53	40	12	44	123.153863162623	168.184659082008	87.58440882604	28.6712952726616	9.94094104931673	25.3783913349264	Up_hemocytes_Down_hemocytes_wssv
XM_027351085.1	21.3303872712747	84.402285228729	-1.309680901951	0.998335113007471	-1.98437190179097	0.00166488699252887	1.98437190179097	21	11	14	99	126	135	20.5256438604372	20.3300137351878	23.1355042181992	70.9614557998374	104.379881017826	77.8655188685241	Down_hemocytes_Up_hemocytes_wssv
XM_027351097.1	65.6375455265655	191.727343422811	-0.865441267764566	0.99274172169731	-1.54646290701829	0.00725827830269032	1.54646290701829	60	31	49	187	183	502	58.6446967441063	57.2936750718928	80.9742647636973	134.038305399693	151.59935100208	289.54437386666	Down_hemocytes_Up_hemocytes_wssv
XM_027351106.1	75.944599176476	230.368813947505	-0.987429498418538	0.991525133698136	-1.60092615015814	0.00847486630186411	1.60092615015814	79	35	52	195	300	525	77.21551737974	64.6864073392338	85.9318728104543	139.772564454225	248.523526232918	302.810351155371	Down_hemocytes_Up_hemocytes_wssv
XM_027351115.1	65.7204001170024	196.609717554957	-0.993559910078908	0.991702604593992	-1.58092146072045	0.00829739540600793	1.58092146072045	51	35	50	221	220	432	49.8479922324904	64.6864073392338	82.626800779283	158.408906381455	182.25058590414	249.169660379277	Down_hemocytes_Up_hemocytes_wssv
XM_027351132.1	68.2731020034999	196.60260774236	-0.890888304742054	0.995695438798733	-1.52589325010341	0.0043045612012671	1.52589325010341	47	35	57	218	217	440	45.9383457828833	64.6864073392338	94.1945528883826	156.258559236006	179.765350641811	253.783913349264	Down_hemocytes_Up_hemocytes_wssv
XM_027351188.1	40190.8651321444	5070.70842186055	2.74941302522425	1	2.98660840918706	1.11022302462516e-16	-2.98660840918706	48322	28140	12910	13987	4156	3023	47230.4839344784	52007.871500744	21334.2399612109	10025.6351744679	3442.87925008003	1743.61084103369	Up_hemocytes_Down_hemocytes_wssv
XM_027351256.1	1018.78601961403	304.523033765702	1.51117798883431	0.999916813117021	1.74222780620855	8.31868829791471e-05	-1.74222780620855	1040	662	494	501	262	585	1016.50807689784	1223.49719024494	816.352791699316	359.107973290086	217.043879576749	337.417248430271	Up_hemocytes_Down_hemocytes_wssv
XM_027351271.1	117.93051257979	37.1654939339922	0.7736306405618	0.989450738396016	1.66590135336888	0.0105492616039844	-1.66590135336888	165	38	74	83	21	60	161.272916046292	70.2309565397396	122.287665153339	59.4929376907727	17.3966468363043	34.6068972748996	Up_hemocytes_Down_hemocytes_wssv
XM_027351305.1	291.916291794096	97.8210176284556	0.885762319917601	0.992920882216534	1.57733835145973	0.0070791177834657	-1.57733835145973	248	112	258	167	145	93	242.39807987564	206.996503485548	426.3542920211	119.702657763362	120.11970434591	53.6406907760944	Up_hemocytes_Down_hemocytes_wssv
XM_027351352.1	3821.97049726864	924.104627696551	1.65257962726446	1	2.04818853301519	0	-2.04818853301519	2026	3413	1923	833	1454	1683	1980.23592672599	6307.84880710871	3177.82675797122	597.079724053177	1204.51069047554	970.723468560933	Up_hemocytes_Down_hemocytes_wssv
XM_027351361.1	86372.2700506214	25311.4186527371	1.94096307216627	0.997733038573634	1.77077983748406	0.00226696142636595	-1.77077983748406	42063	47958	78285	28803	42640	34615	41112.8646524558	88635.163519285	129368.781980123	20645.4829434618	35323.4771952388	19965.2958195108	Up_hemocytes_Down_hemocytes_wssv
XM_027351465.1	180.727037830022	57.5216380498236	0.980888760321964	0.996675913896269	1.65163569277486	0.00332408610373058	-1.65163569277486	160	139	78	93	61	96	156.385857984284	256.8974462901	128.897809215681	66.6607615089381	50.5331170006934	55.3710356398393	Up_hemocytes_Down_hemocytes_wssv
XM_027351480.1	119.64239780823	40.2549242510411	1.22342602599667	0.999405075026071	1.57149155035094	0.000594924973928879	-1.57149155035094	119	66	73	60	50	63	116.311981875811	121.980082411127	120.635129137753	43.0069429089923	41.4205877054864	36.3372421386446	Up_hemocytes_Down_hemocytes_wssv
XM_027351505.1	34.9187273848252	226.279370534005	-1.33438940980416	0.999449394161106	-2.69603217686954	0.000550605838893992	2.69603217686954	25	22	24	172	452	314	24.4352903100443	40.6600274703755	39.6608643740558	123.286569672445	374.442112857597	181.109429071974	Down_hemocytes_Up_hemocytes_wssv
XM_027351506.1	40.2793850438727	201.168074461616	-1.1644354905712	0.996186227301594	-2.32028780380824	0.00381377269840555	2.32028780380824	33	22	29	161	404	266	32.2545832092585	40.6600274703755	47.9235444519841	115.401963472463	334.67834866033	153.423911252055	Down_hemocytes_Up_hemocytes_wssv
XM_027351507.1	41.0496630011823	208.419028672884	-1.15654666680324	0.996235360452625	-2.34404471849188	0.00376463954737483	2.34404471849188	48	18	26	145	426	292	46.9157573952851	33.2672952030345	42.9659364052272	103.933445363398	352.903407250744	168.420233404511	Down_hemocytes_Up_hemocytes_wssv
XM_027351509.1	38.6856322192438	232.824448583707	-1.09281118895648	0.996599449250477	-2.58937280530495	0.00340055074952317	2.58937280530495	52	4	35	156	461	355	50.8254038448922	7.39273226734101	57.8387605454981	111.81805156338	381.897818644584	204.757475543156	Down_hemocytes_Up_hemocytes_wssv
XM_027351561.1	6030.89500693154	2126.35703413744	2.16848305565951	0.999999999998508	1.50398826079189	1.49169565588636e-12	-1.50398826079189	5233	3111	4374	1851	2346	5390	5114.79496769848	5749.69752092447	7228.19253217168	1326.76418874241	1943.45397514142	3108.85293852848	Up_hemocytes_Down_hemocytes_wssv
XM_027351599.1	332.244010146906	23.2861601441272	1.54827806486057	0.999999963168918	3.83469852430317	3.68310822951301e-08	-3.83469852430317	94	351	155	33	14	60	91.8766915657666	648.712256459173	256.143082415777	23.6538185999458	11.5977645575362	34.6068972748996	Up_hemocytes_Down_hemocytes_wssv
XM_027351602.1	154.172027474146	39.088590474174	1.04776460547024	0.996191296640913	1.97972156317189	0.00380870335908656	-1.97972156317189	136	122	63	55	32	89	132.927979286641	225.478334153901	104.109768981897	39.4230309999096	26.5091761315113	51.333564291101	Up_hemocytes_Down_hemocytes_wssv
XM_027351603.1	129.908850627769	24.7251061304657	1.21495303258945	0.999573122689797	2.39345110549726	0.000426877310202856	-2.39345110549726	129	89	60	52	16	41	126.086097999829	164.488292948337	99.1521609351396	37.27268385446	13.2545880657556	23.6480464711814	Up_hemocytes_Down_hemocytes_wssv
XM_027351617.1	9570.60876293767	29921.0510984521	-1.93787125284228	1	-1.64447825760511	0	1.64447825760511	7162	7267	5011	20148	43279	68429	7000.22196802149	13430.7463466918	8280.85797409974	14441.7314288396	35852.8323061149	39468.5895604017	Down_hemocytes_Up_hemocytes_wssv
XM_027351619.1	1726.1940644757	435.929478461194	1.68070180382503	0.9999999999995	1.98542799605454	5.00488539501021e-13	-1.98542799605454	1012	1319	1060	566	502	843	989.140551750594	2437.7534651557	1751.6881765208	405.698828108161	415.862700563083	486.226906712339	Up_hemocytes_Down_hemocytes_wssv
XM_027351660.1	97294.4086657382	32224.2270948888	3.0250593504398	1	1.59421114265867	0	-1.59421114265867	75083	66928	57367	52675	32488	55485	73386.9960939623	123695.19629715	94801.0336061026	37756.5119621862	26913.4410675168	32002.7282549634	Up_hemocytes_Down_hemocytes_wssv
XM_027351669.1	65316.8334909055	18085.5649906506	2.85637147470045	1	1.85261618356629	0	-1.85261618356629	41797	43688	44994	28023	19761	30861	40852.8731635569	80743.4218238985	74354.2054852612	20086.3926856449	16370.2446729623	17800.0576133446	Up_hemocytes_Down_hemocytes_wssv
XM_027351673.1	20.4657681196857	558.489704020069	-1.96456528628565	0.999999999999999	-4.77024596426391	1.22124532708767e-15	4.77024596426391	27	10	10	182	460	2018	26.3901135348479	18.4818306683525	16.5253601558566	130.45439349061	381.069406890475	1163.94531167912	Down_hemocytes_Up_hemocytes_wssv
XM_027351730.1	455.543215030229	77.3174996243145	1.70308302444204	0.999999998540049	2.55872103353428	1.45995138201016e-09	-2.55872103353428	410	342	202	102	88	149	400.738761084727	632.078608857656	333.812275148303	73.111802945287	72.900234361656	85.9404615660006	Up_hemocytes_Down_hemocytes_wssv
XM_027351759.1	90.6698908544576	320.915244154949	-1.02507643374612	0.995465621636944	-1.82349686895392	0.00453437836305626	1.82349686895392	128	16	71	461	388	539	125.108686387427	29.570929069364	117.330057106582	330.436678017425	321.423760594574	310.885293852848	Down_hemocytes_Up_hemocytes_wssv
XM_027351760.1	100.886576155343	342.464576482983	-0.933114434195814	0.995661006023153	-1.76322054373374	0.00433899397684678	1.76322054373374	116	13	100	475	440	559	113.379747038606	24.0263798688583	165.253601558566	340.471631362856	364.50117180828	322.420926277814	Down_hemocytes_Up_hemocytes_wssv
XM_027351761.1	103.192081368274	340.688335334137	-0.935954264766642	0.995294647673151	-1.72312028534537	0.00470535232684854	1.72312028534537	155	14	80	435	464	565	151.498799922275	25.8745629356935	132.202881246853	311.800336090194	384.383053906913	325.881616005304	Down_hemocytes_Up_hemocytes_wssv
XM_027351763.1	86.399980722522	357.482236206546	-1.06668739542124	0.995087519188112	-2.04876865852439	0.00491248081188789	2.04876865852439	151	13	53	459	495	578	147.589153472668	24.0263798688583	87.58440882604	329.003113253791	410.063818284315	333.379777081533	Down_hemocytes_Up_hemocytes_wssv
XM_027351928.1	150.830293605857	45.7209862306896	1.05601316241169	0.996339477549754	1.72199778785989	0.0036605224502464	-1.72199778785989	201	67	80	79	45	75	196.459734092756	123.828265477962	132.202881246853	56.6258081635066	37.2785289349377	43.2586215936245	Up_hemocytes_Down_hemocytes_wssv
XM_027351966.1	6969.96564761544	2004.33792793206	3.11838668237105	1	1.79802578065462	0	-1.79802578065462	6531	4539	3714	2650	2473	3580	6383.47524059598	8388.90294036521	6137.51876188514	1899.47331181383	2048.66226791336	2064.87820406901	Up_hemocytes_Down_hemocytes_wssv
XM_027351973.1	5698.8221770945	1873.57072504123	3.62435544033245	1	1.60487333762374	2.22044604925031e-16	-1.60487333762374	5716	3284	3292	2394	2285	3488	5586.88477648853	6069.43319148697	5440.14856330799	1715.97702206879	1892.92085814073	2011.81429491416	Up_hemocytes_Down_hemocytes_wssv
XM_027352023.1	303.38601569561	994.632469304805	-1.33669985000013	0.999440154972008	-1.71300894061158	0.000559845027991557	1.71300894061158	278	138	232	933	1657	1634	271.720428247693	255.049263223265	383.388355615873	668.757962234831	1372.67827655982	942.461169119765	Down_hemocytes_Up_hemocytes_wssv
XM_027352024.1	3817.88210680055	1333.25459226458	1.99275776147705	0.999882636569453	1.5178202568895	0.000117363430546913	-1.5178202568895	3145	2659	2097	1649	1830	2257	3073.95952100357	4914.31877471493	3465.36802468313	1181.97414761547	1515.9935100208	1301.79611915747	Up_hemocytes_Down_hemocytes_wssv
XM_027352082.1	41451.5287258122	7074.88317198339	3.63055672175131	0.999999999999999	2.55064707913207	7.7715611723761e-16	-2.55064707913207	28445	26274	29042	13300	7129	10031	27802.4733147684	48559.1618980294	47992.9509646387	9533.20567815997	5905.74739504825	5785.69644274196	Up_hemocytes_Down_hemocytes_wssv
XM_027352105.1	82.9644942498511	21.3328360348635	1.27986495609197	0.998212707650076	1.95941827462827	0.00178729234992436	-1.95941827462827	88	47	46	28	21	46	86.012221891356	86.8646041412568	76.0166567169404	20.0699066908631	17.3966468363043	26.531954577423	Up_hemocytes_Down_hemocytes_wssv
XM_027352110.1	1095.88561357558	184.211904580977	1.72849663051142	0.999998536644202	2.57265901760015	1.46335579764845e-06	-2.57265901760015	671	951	529	262	219	318	655.843191921589	1757.62209656032	874.191552244814	187.796984035933	181.42217415003	183.416555556968	Up_hemocytes_Down_hemocytes_wssv
XM_027352200.1	4248.21983109943	435.220750623866	2.68590615420354	1	3.28703917397882	0	-3.28703917397882	3447	3399	1872	881	316	715	3369.13782794891	6281.97424417302	3093.54742117636	631.485278380371	261.778114298674	412.398859192553	Up_hemocytes_Down_hemocytes_wssv
XM_027352214.1	89.3720153142535	30.1046048544648	0.814219782433733	0.990679329719854	1.56983897595932	0.00932067028014594	-1.56983897595932	88	27	80	52	32	46	86.012221891356	49.9009428045518	132.202881246853	37.27268385446	26.5091761315113	26.531954577423	Up_hemocytes_Down_hemocytes_wssv
XM_027352248.1	3525.27630898796	464.26589062387	1.90346438519529	0.999946472592586	2.92471314364447	5.35274074143777e-05	-2.92471314364447	1240	1726	3736	424	520	1141	1211.9903993782	3189.96397335764	6173.87455422803	303.915729890213	430.774112137058	658.10782984434	Up_hemocytes_Down_hemocytes_wssv
XM_027352251.1	1213.77764403861	174.352357284262	1.69663704095652	0.999999999825159	2.79942637876834	1.74841363609346e-10	-2.79942637876834	530	1115	643	261	251	222	518.028154572939	2060.72411952131	1062.58065802158	187.080201654117	207.931350281542	128.045519917128	Up_hemocytes_Down_hemocytes_wssv
XM_027352252.1	13748.0278400344	2091.76732427367	2.91157788677574	1	2.71643038948557	0	-2.71643038948557	7388	8821	10723	2688	2912	3357	7221.11699242429	16302.8228325538	17720.143695125	1926.71104232286	2412.33502796753	1936.25590253063	Up_hemocytes_Down_hemocytes_wssv
XM_027352254.1	1630997.791704	442016.759282953	2.50603125337723	1	1.88358185244956	0	-1.88358185244956	1288347	1295813	749665	603213	637516	633779	1259245.31860299	2394899.64438499	1238848.41212402	432372.4508827	528125.747833017	365552.079133143	Up_hemocytes_Down_hemocytes_wssv
XM_027352256.1	28665.5947882252	4971.54020171534	2.81262683776482	1	2.52755543566024	0	-2.52755543566024	14973	19151	21765	5506	7431	8343	14634.7840724917	35394.5539129619	35967.4463792219	3946.60379428186	6155.92774478938	4812.08906607479	Up_hemocytes_Down_hemocytes_wssv
XM_027352257.1	9620.4073001715	1563.39033000209	2.47931109052236	1	2.62141995536888	0	-2.62141995536888	4334	7107	6953	2169	2210	2262	4236.10192814928	13135.0370559981	11490.0829163671	1554.70098616007	1830.7899765825	1304.68002726371	Up_hemocytes_Down_hemocytes_wssv
XM_027352258.1	42000.177554826	4544.08810638066	2.85156960587562	1	3.20833271388986	0	-3.20833271388986	17123	33475	28681	5969	6006	7591	16736.2190391555	61867.9281623101	47396.3854630123	4278.47403706292	4975.44099518302	4378.34928689605	Up_hemocytes_Down_hemocytes_wssv
XM_027352259.1	87888.3786740938	13227.3949147773	3.14795814276116	1	2.73214345666918	0	-2.73214345666918	52463	53897	68244	11030	14301	34552	51277.9454214342	99611.5227532196	112775.667847628	7906.10967143643	11847.1164955232	19928.9585773722	Up_hemocytes_Down_hemocytes_wssv
XM_027352368.1	355.453005389288	102.27158494994	1.20841501419218	0.999520271267381	1.79725346946009	0.000479728732618701	-1.79725346946009	362	238	165	181	94	172	353.823003689442	439.86756990679	272.668442571634	129.737611108794	77.8707048863144	99.2064388547121	Up_hemocytes_Down_hemocytes_wssv
XM_027352376.1	404.503673373554	122.200956199337	1.27310250546013	0.998049757350811	1.72689723008212	0.00195024264918886	-1.72689723008212	371	261	223	199	113	226	362.619708201058	482.375780444001	368.515531475602	142.639693981491	93.6105282143992	130.352646402122	Up_hemocytes_Down_hemocytes_wssv
XM_027352567.1	811.524328922334	144.849608301004	1.32860171456579	0.999004645710593	2.48607856308238	0.00099535428940678	-2.48607856308238	359	734	440	162	289	137	350.890768852236	1356.56637105707	727.11584685769	116.118745854279	239.410996937711	79.0190821110207	Up_hemocytes_Down_hemocytes_wssv
XM_027352595.1	34954.8403491097	11715.5783851389	1.71847261171055	0.99999987479176	1.57706406548815	1.25208239776242e-07	-1.57706406548815	18106	18259	32327	12130	20732	16085	17697.0146541465	33745.9746173449	53421.5317758376	8694.57029143462	17174.6324862029	9277.53237777933	Up_hemocytes_Down_hemocytes_wssv
XM_027352596.1	73298.5858633134	20052.1681336297	2.07393635773828	0.998059262813844	1.87002712895854	0.00194073718615606	-1.87002712895854	39078	38495	66900	22984	33122	28162	38195.2909894365	71145.807157823	110554.659442681	16474.5262636713	27438.6541196224	16243.3240175954	Up_hemocytes_Down_hemocytes_wssv
XM_027352698.1	90.6589702725125	20.9120033892701	1.37006593339705	0.999529784370629	2.11611849475437	0.000470215629371218	-2.11611849475437	75	61	52	27	28	35	73.3058709301329	112.73916707695	85.9318728104543	19.3531243090466	23.1955291150724	20.1873567436914	Up_hemocytes_Down_hemocytes_wssv
XM_027352702.1	58.6540208163594	10.4625565757543	0.985706202446869	0.99637017438072	2.48699458633768	0.0036298256192796	-2.48699458633768	50	33	40	26	14	2	48.8705806200886	60.9900412055633	66.1014406234264	18.63634192723	11.5977645575362	1.15356324249665	Up_hemocytes_Down_hemocytes_wssv
XM_027352755.1	184428.525139985	23663.6508625163	3.29108186049236	1	2.96231723432764	0	-2.96231723432764	102405	107333	154201	35093	29017	37794	100091.836168004	198371.033112628	254822.706139324	25154.0441250878	24038.023869002	21798.8845934592	Up_hemocytes_Down_hemocytes_wssv
XM_027352773.1	1298.48974959617	218.657822062414	1.78798037422961	0.997708332932871	2.57008776119578	0.00229166706712913	-2.57008776119578	792	877	908	481	164	304	774.109997022204	1620.85654961452	1500.50270215178	344.772325653755	135.859527673995	175.341612859491	Up_hemocytes_Down_hemocytes_wssv
XM_027352776.1	256.515503877826	75.1072917503989	1.2464509433369	0.998117086286457	1.77202114249838	0.00188291371354277	-1.77202114249838	210	156	167	121	74	134	205.256438604372	288.316558426299	275.973514602805	86.7306681998012	61.3024698041198	77.2887372472757	Up_hemocytes_Down_hemocytes_wssv
XM_027352799.1	63.1332327769769	218.08874170245	-0.896181124465545	0.996123155057522	-1.78844376408633	0.00387684494247797	1.78844376408633	112	20	26	352	284	289	109.470100588999	36.963661336705	42.9659364052272	252.307398399422	235.268938167163	166.689888540766	Down_hemocytes_Up_hemocytes_wssv
XM_027352801.1	1382.25322593994	349.003215042509	1.66406667873909	1	1.985709706876	1.11022302462516e-16	-1.985709706876	1114	1068	656	521	364	645	1088.83653621557	1973.85951538005	1084.06362622419	373.443620926417	301.541878495941	372.02414570517	Up_hemocytes_Down_hemocytes_wssv
XM_027352883.1	38465.3477364091	9647.75692658059	2.41383804694311	0.999999999999999	1.99529388635081	1.33226762955019e-15	-1.99529388635081	36270	12639	34242	11647	12535	17703	35450.7191818123	23359.1857817308	56586.1382456842	8348.36440101723	10384.1413377654	10210.7650409591	Up_hemocytes_Down_hemocytes_wssv
XM_027352898.1	157.612024603969	54.9554323915035	1.08921328546112	0.996443015472016	1.52004360072483	0.0035569845279837	-1.52004360072483	187	72	95	70	73	94	182.775971519131	133.069180812138	156.990921480638	50.1747667271577	60.4740580500101	54.2174723973427	Up_hemocytes_Down_hemocytes_wssv
XM_027352899.1	370.496973975404	1686.45622566255	-1.57302260905248	0.992950030259971	-2.18646120715125	0.00704996974002869	2.18646120715125	396	113	312	1408	3170	2469	387.054998511102	208.844686552383	515.591236862726	1009.22959359769	2626.06526052784	1424.07382286212	Down_hemocytes_Up_hemocytes_wssv
XM_027352913.1	544.187362805214	63.6221823820741	1.43742116258057	0.999560866121973	3.09650168903025	0.000439133878027187	-3.09650168903025	460	497	160	153	27	102	449.609341704815	918.54698421712	264.405762493706	109.66770441793	22.3671173609626	58.8317253673293	Up_hemocytes_Down_hemocytes_wssv
XM_027352914.1	621.308040672777	53.6495646728511	1.62145039548773	1	3.5336703553503	0	-3.5336703553503	531	590	154	119	21	101	519.005566185341	1090.4280094328	254.490546400192	85.2971034361681	17.3966468363043	58.254943746081	Up_hemocytes_Down_hemocytes_wssv
XM_027352918.1	986.731639249175	264.939147602234	1.51323779971416	0.999938475296748	1.89699673607987	6.15247032517141e-05	-1.89699673607987	761	745	508	366	358	409	743.810237037749	1376.89638479226	839.488295917515	262.342351744853	296.571407971282	235.903683090565	Up_hemocytes_Down_hemocytes_wssv
XM_027352919.1	3046.45615226812	881.062329131718	1.90714570767448	0.999903787314098	1.78981598708099	9.62126859023194e-05	-1.78981598708099	2313	2276	1617	1178	1244	1332	2260.7530594853	4206.46466011703	2672.15073720201	844.369645779883	1030.5442221125	768.273119502771	Up_hemocytes_Down_hemocytes_wssv
XM_027352920.1	315.709987262666	106.245559204027	1.00427608563381	0.995491915531901	1.57119735850996	0.00450808446809869	-1.57119735850996	247	220	181	136	171	138	241.420668263238	406.600274703755	299.109018821004	97.4824039270493	141.658409952763	79.595863732269	Up_hemocytes_Down_hemocytes_wssv
XM_027352974.1	274.215698433002	60.6095432806194	1.05411768718817	0.99631499720915	2.1776942892225	0.00368500279084971	-2.1776942892225	307	230	59	88	41	147	300.065365007344	425.082105372108	97.4996249195539	63.0768495998554	33.9648819184988	84.786898323504	Up_hemocytes_Down_hemocytes_wssv
XM_027353011.1	236.424752409696	77.6081957287472	1.1350806180643	0.993984469485566	1.60710016608897	0.00601553051443393	-1.60710016608897	229	150	126	128	77	134	223.827259240006	277.227460025288	208.219537963793	91.748144872517	63.787705066449	77.2887372472757	Up_hemocytes_Down_hemocytes_wssv
XM_027353037.1	85622.8400342911	17901.6698045986	2.27031456363879	1	2.2579015259847	0	-2.2579015259847	41803	45874	79409	20727	29474	25021	40858.7376332313	84783.5500080003	131226.232461642	14856.7484279114	24416.6080406301	14431.6529452544	Up_hemocytes_Down_hemocytes_wssv
