ID	limma	DESeq2	edgeR	NOISeq
XM_027358254.1	1	1	1	1
XM_027358259.1	1	1	1	1
XM_027358265.1	1	1	1	1
XM_027358283.1	1	1	1	1
XM_027358284.1	1	1	1	1
XM_027358285.1	1	1	1	1
XM_027358308.1	1	1	1	1
XM_027358310.1	1	1	1	1
XM_027358311.1	1	1	1	1
XM_027358312.1	1	1	1	1
XM_027358313.1	1	1	1	1
XM_027358314.1	1	1	1	1
XM_027358315.1	1	1	1	1
XM_027358317.1	1	1	1	1
XM_027358318.1	1	1	1	1
XM_027358319.1	1	1	1	1
XM_027358320.1	1	1	1	1
XM_027358321.1	1	1	1	1
XM_027358322.1	1	1	1	1
XM_027358324.1	1	1	1	1
XM_027358331.1	1	1	1	1
XM_027358335.1	1	1	1	1
XM_027358346.1	1	1	1	1
XM_027358347.1	1	1	1	1
XM_027358352.1	1	1	1	1
XM_027358353.1	1	1	1	1
XM_027358354.1	1	1	1	1
XM_027358355.1	1	1	1	1
XM_027358356.1	1	1	1	1
XM_027358369.1	1	1	1	1
XM_027358370.1	1	1	1	1
XM_027358371.1	1	1	1	1
XM_027358372.1	1	1	1	1
XM_027358373.1	1	1	1	1
XM_027358378.1	1	1	1	1
XM_027358402.1	1	1	1	1
XM_027358403.1	1	1	1	1
XM_027358422.1	1	1	1	1
XM_027358450.1	1	1	1	1
XM_027358467.1	1	1	1	1
XM_027358473.1	1	1	1	1
XM_027358510.1	1	1	1	1
XM_027358525.1	1	1	1	1
XM_027358532.1	1	1	1	1
XM_027358605.1	1	1	1	1
XM_027358656.1	1	1	1	1
XM_027358664.1	1	1	1	1
XM_027358670.1	1	1	1	1
XM_027358692.1	1	1	1	1
XM_027358708.1	1	1	1	1
XM_027358709.1	1	1	1	1
XM_027358782.1	1	1	1	1
XM_027358783.1	1	1	1	1
XM_027358788.1	1	1	1	1
XM_027358795.1	1	1	1	1
XM_027358881.1	1	1	1	1
XM_027358882.1	1	1	1	1
XM_027358886.1	1	1	1	1
XM_027358887.1	1	1	1	1
XM_027358921.1	1	1	1	1
XM_027358934.1	1	1	1	1
XM_027358948.1	1	1	1	1
XM_027358949.1	1	1	1	1
XM_027358950.1	1	1	1	1
XM_027358980.1	1	1	1	1
XM_027359006.1	1	1	1	1
XM_027359020.1	1	1	1	1
XM_027359027.1	1	1	1	1
XM_027359033.1	1	1	1	1
XM_027359096.1	1	1	1	1
XM_027359106.1	1	1	1	1
XM_027359128.1	1	1	1	1
XM_027359129.1	1	1	1	1
XM_027359130.1	1	1	1	1
XM_027359131.1	1	1	1	1
XM_027359132.1	1	1	1	1
XM_027359133.1	1	1	1	1
XM_027359134.1	1	1	1	1
XM_027359142.1	1	1	1	1
XM_027359151.1	1	1	1	1
XM_027359162.1	1	1	1	1
XM_027359240.1	1	1	1	1
XM_027359272.1	1	1	1	1
XM_027359273.1	1	1	1	1
XM_027359275.1	1	1	1	1
XM_027359278.1	1	1	1	1
XM_027359280.1	1	1	1	1
XM_027359294.1	1	1	1	1
XM_027359307.1	1	1	1	1
XM_027359338.1	1	1	1	1
XM_027359369.1	1	1	1	1
XM_027359376.1	1	1	1	1
XM_027359377.1	1	1	1	1
XM_027359380.1	1	1	1	1
XM_027359381.1	1	1	1	1
XM_027359388.1	1	1	1	1
XM_027359448.1	1	1	1	1
XM_027359452.1	1	1	1	1
XM_027359453.1	1	1	1	1
XM_027359454.1	1	1	1	1
XM_027359501.1	1	1	1	1
XM_027359519.1	1	1	1	1
XM_027359526.1	1	1	1	1
XM_027359537.1	1	1	1	1
XM_027359553.1	1	1	1	1
XM_027359560.1	1	1	1	1
XM_027359602.1	1	1	1	1
XM_027359675.1	1	1	1	1
XM_027359690.1	1	1	1	1
XM_027359747.1	1	1	1	1
XM_027359748.1	1	1	1	1
XM_027359755.1	1	1	1	1
XM_027359787.1	1	1	1	1
XM_027359788.1	1	1	1	1
XM_027359789.1	1	1	1	1
XM_027359790.1	1	1	1	1
XM_027359796.1	1	1	1	1
XM_027359865.1	1	1	1	1
XM_027359867.1	1	1	1	1
XM_027359868.1	1	1	1	1
XM_027359897.1	1	1	1	1
XM_027359913.1	1	1	1	1
XM_027359927.1	1	1	1	1
XM_027359943.1	1	1	1	1
XM_027359953.1	1	1	1	1
XM_027359960.1	1	1	1	1
XM_027359961.1	1	1	1	1
XM_027359986.1	1	1	1	1
XM_027360011.1	1	1	1	1
XM_027360017.1	1	1	1	1
XM_027360018.1	1	1	1	1
XM_027360019.1	1	1	1	1
XM_027360020.1	1	1	1	1
XM_027360021.1	1	1	1	1
XM_027360022.1	1	1	1	1
XM_027360028.1	1	1	1	1
XM_027360031.1	1	1	1	1
XM_027360032.1	1	1	1	1
XM_027360033.1	1	1	1	1
XM_027360034.1	1	1	1	1
XM_027360043.1	1	1	1	1
XM_027360065.1	1	1	1	1
XM_027360092.1	1	1	1	1
XM_027360093.1	1	1	1	1
XM_027360094.1	1	1	1	1
XM_027360107.1	1	1	1	1
XM_027360159.1	1	1	1	1
XM_027360173.1	1	1	1	1
XM_027360174.1	1	1	1	1
XM_027360208.1	1	1	1	1
XM_027360232.1	1	1	1	1
XM_027360250.1	1	1	1	1
XM_027360292.1	1	1	1	1
XM_027360315.1	1	1	1	1
XM_027360335.1	1	1	1	1
XM_027360375.1	1	1	1	1
XM_027360379.1	1	1	1	1
XM_027360383.1	1	1	1	1
XM_027360384.1	1	1	1	1
XM_027360403.1	1	1	1	1
XM_027360415.1	1	1	1	1
XM_027360420.1	1	1	1	1
XM_027360424.1	1	1	1	1
XM_027360447.1	1	1	1	1
XM_027360456.1	1	1	1	1
XM_027360462.1	1	1	1	1
XM_027360465.1	1	1	1	1
XM_027360471.1	1	1	1	1
