ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	hep_1	hep_2	hep_3	hep_4	hep_5	hep_6	gills_1	gills_2	gills_3	gills_4	gills_5	gills_6	hep_1_normalized	hep_2_normalized	hep_3_normalized	hep_4_normalized	hep_5_normalized	hep_6_normalized	gills_1_normalized	gills_2_normalized	gills_3_normalized	gills_4_normalized	gills_5_normalized	gills_6_normalized	Expression
XM_027368913.1	9.5661418504266	3.43051911715199	10.5804143678969	7.47397799498378e-08	1.11858112511579e-06	8.46113026980293	29	25	26	0	6	32	5000	19976	10244	15373	8819	10089	0.742483891977148	0.755431367850991	0.621101726929703	0	0.205602405056371	0.933688662250589	1450.72339717585	282.53573756031	126.955781262299	330.026708379882	292.946584081848	237.114006575994	Down_hep_Up_gills
XM_027368918.1	-2.83027394860813	3.71640003964147	-11.0643511699436	4.36248046025445e-08	7.59285953082322e-07	9.0973650174185	1614	1577	1497	662	745	1052	13	262	360	347	135	266	41.3230690224523	47.6526106840405	35.7611263543756	35.1843755725373	25.5289652944994	30.6950147714881	3.77188083265722	3.70566495999205	4.46154639344276	7.44937668690686	4.48438472060886	6.25159339371736	Up_hep_Down_gills
XM_027368950.1	-4.57137661956362	4.88431437246278	-7.87089642838231	2.29620132498427e-06	1.78142608616598e-05	5.11128777317477	5448	5224	5466	6183	4796	7018	0	536	722	507	352	468	139.484560120397	157.854938626143	130.574693822991	328.617815959212	164.344855775059	204.769594739832	0	7.58105503265548	8.94787915573799	10.8842477817342	11.6926179381801	10.999044016014	Up_hep_Down_gills
XM_027368951.1	-4.02168256580437	6.15299980896146	-12.6276149748315	8.67197927431855e-09	2.93232073470282e-07	10.6914309538448	8421	8362	8295	11440	9477	12082	25	1790	1490	899	519	827	215.601960494468	252.676683918799	198.155339418534	608.020024999739	324.748998786538	352.525825540988	7.25361698587926	25.3173293068159	18.4658447950825	19.2996819640613	17.2399679258963	19.4363448744521	Up_hep_Down_gills
XM_027368962.1	-6.204979922164	2.98297662971634	-12.310963541749	1.18599520735459e-08	3.29734248928469e-07	10.2698325758317	3739	2890	4940	1318	1686	1337	0	45	125	41	32	116	95.7292162793985	87.3278661235745	118.009328116644	70.0498595235713	57.7742758208402	39.0106794196574	0	0.636469172517718	1.54914805327874	0.880185718049514	1.06296526710728	2.72625877320005	Up_hep_Down_gills
XM_027368984.1	7.98962767471442	-0.41483424616515	9.28393123232914	3.50442747276812e-07	3.71578097001711e-06	6.93294023834421	4	0	3	0	0	5	31	389	528	416	1036	1250	0.102411571307193	0	0.0716655838765042	0	0	0.145888853476655	8.99448506249028	5.50192240243094	6.54360137704939	8.93066484655116	34.4135005225983	29.3777885043109	Down_hep_Up_gills
XM_027368999.1	-7.65904796185628	0.0135358574596905	-9.48226742648952	2.73809808843317e-07	3.03267748903009e-06	7.1635145121545	910	647	956	189	307	250	0	0	1	10	2	16	23.2986324723864	19.5505637999836	22.837432728646	10.0450860773558	10.5199897253843	7.29444267383272	0	0	0.0123931844262299	0.214679443426711	0.0664353291942053	0.37603569285518	Up_hep_Down_gills
XM_027369005.1	-4.06918502473593	4.60444188573498	-9.38505975591544	3.0885859819442e-07	3.3529212634863e-06	7.14199140300634	5226	4118	4601	1972	5958	1337	6	549	819	179	181	345	133.800717912847	124.434654912415	109.911117138599	104.809046267438	204.163188220976	39.0106794196574	1.74086807661102	7.76492390471616	10.1500180450823	3.84276203733812	6.01239729207558	8.10826962718981	Up_hep_Down_gills
XM_027369024.1	-7.27364314237349	4.12464207245161	-8.39173277584643	1.11894136033894e-06	9.75974023737493e-06	5.89739029724716	23717	8989	20978	1252	9521	2340	4	267	177	12	17	162	607.223809173173	271.622902624502	501.133539520435	66.5420516870344	326.256749756951	68.2759834270743	1.16057871774068	3.77638375693846	2.19359364344269	0.257615332112053	0.564700298150745	3.80736139015869	Up_hep_Down_gills
XM_027369055.1	-9.32126130307883	-0.272688693222214	-10.838366688062	5.59585183945232e-08	9.02508043718751e-07	8.58258306287117	1264	1507	1232	267	467	283	0	2	0	0	0	9	32.3620565330729	45.5374028540577	29.4306664452844	14.1906771568995	16.0027205268875	8.25730910677864	0	0.0282875187785652	0	0	0	0.211520077231039	Up_hep_Down_gills
XM_027369065.1	6.41440998841236	2.84428674105792	6.83918226124925	1.05235787319683e-05	6.55684084641983e-05	3.7066950677565	49	32	59	17	34	6	15	4252	12138	5003	3050	4900	1.25454174851311	0.966952150849268	1.40942314957125	0.903526260926186	1.16508029531944	0.175066624171985	4.35217019152756	60.1392649232297	150.428472565579	107.404125546383	101.313877021163	115.160930936899	Down_hep_Up_gills
XM_027369068.1	-2.23132009084633	6.98478803100623	-5.30644438317379	0.000131437402184037	0.000603199287182402	0.858617959663682	12053	10831	12203	6187	7793	5677	129	2227	2019	3451	4595	5051	308.591667241399	327.283085807763	291.51170668166	328.830410373548	267.043257100716	165.642204237394	37.428663647137	31.4981521599324	25.0218393565582	74.0858759265578	152.635168823687	118.70976778822	Up_hep_Down_gills
XM_027369070.1	8.7552061567209	1.67376314642678	12.659131896528	8.40901946791247e-09	2.88471889464579e-07	10.2449104778363	4	6	6	3	10	2	53	5687	4600	3789	3394	4224	0.102411571307193	0.181303528284238	0.143331167753008	0.15944581075168	0.342670675093951	0.0583555413906618	15.377668010064	80.4355596468502	57.0086483606575	81.3420411143807	112.740753642566	99.2734229137674	Down_hep_Up_gills
XM_027369072.1	-1.80661233150404	7.02206239581841	-5.32847556766902	0.000126461302472402	0.000582599179598291	0.895297218070518	8210	7908	7633	10091	6272	7645	114	4659	3653	3542	3383	4953	210.199750108013	238.958050278625	182.341133909785	536.322558765067	214.923047418926	223.064056965805	33.0764934556094	65.8957749946677	45.2723027090178	76.0394588617409	112.375359331998	116.406549169482	Up_hep_Down_gills
XM_027369081.1	-9.7694855687293	4.08006536767066	-7.98841077534623	1.9469611594523e-06	1.54285160370946e-05	5.36874783164428	6563	8774	6257	39840	44778	9414	20	3	13	17	40	157	168.031785622277	265.126192860984	149.470519438429	2117.44036678231	1534.4107489357	274.679533325845	5.80289358870341	0.0424312781678478	0.161111397540989	0.364955053825408	1.32870658388411	3.68985023614145	Up_hep_Down_gills
XM_027369086.1	-7.94036488044251	-0.761819554315865	-10.8692244276802	5.40746113842771e-08	8.80939978080598e-07	8.5924269313532	716	481	554	129	201	120	0	2	2	0	0	4	18.3316712639875	14.5344995174531	13.2342444891944	6.85616986232223	6.88768056938842	3.50133248343971	0	0.0282875187785652	0.0247863688524598	0	0	0.0940089232137949	Up_hep_Down_gills
XM_027369087.1	-8.09717356887897	-0.314954462570661	-9.99190861589564	1.47818294144286e-07	1.86239413535918e-06	7.71487616510554	882	565	809	167	322	246	0	0	0	4	2	11	22.581751473236	17.0727489134324	19.3258191186973	8.87581679851018	11.0339957380252	7.1777315910514	0	0	0	0.0858717773706843	0.0664353291942053	0.258524538837936	Up_hep_Down_gills
XM_027369088.1	-7.12368602394505	-0.398911527014564	-9.00652506964527	4.98230118899548e-07	4.94558677442167e-06	6.60798268577932	639	389	581	139	224	110	0	0	2	2	6	8	16.360248516324	11.7545120837614	13.879234744083	7.38765589816116	7.67582312210451	3.2095547764864	0	0	0.0247863688524598	0.0429358886853421	0.199305987582616	0.18801784642759	Up_hep_Down_gills
XM_027369089.1	-12.5308826457024	4.01105523896333	-10.6126397783423	7.20636310669352e-08	1.0896704624888e-06	8.49235185061728	29824	29025	34850	61936	71713	18670	0	0	6	16	25	215	763.580675666429	877.055818075	832.51519936539	3291.81191157201	2457.39421230125	544.748978881828	0	0	0.0743591065573794	0.343487109482737	0.830441614927566	5.05297962274148	Up_hep_Down_gills
XM_027369090.1	-11.2398251022658	2.80967354257095	-6.04135136715057	3.76125539569252e-05	0.000201408567750542	2.50004986134739	1308	5535	3854	32613	66154	23697	0	0	8	10	14	36	33.488583817452	167.252504842209	92.066386753349	1733.33540868151	2266.90358401653	691.425632167256	0	0	0.0991454754098392	0.214679443426711	0.465047304359437	0.846080308924154	Up_hep_Down_gills
XM_027369098.1	-8.20000116634939	0.541500179523577	-7.88630890518033	2.24683622697456e-06	1.74918532151279e-05	5.22019691934823	1395	1789	1470	1240	328	168	0	10	4	2	0	14	35.7160354933835	54.0586686834169	35.116136099487	65.9042684440277	11.2395981430816	4.90186547681559	0	0.141437593892826	0.0495727377049196	0.0429358886853421	0	0.329031231248282	Up_hep_Down_gills
XM_027369132.1	9.4767610828907	2.18116465115456	6.40791600042611	2.07241816077297e-05	0.000118650747019651	3.09016498243259	20	12	11	2	0	8	27	9010	4586	9136	14896	18674	0.512057856535964	0.362607056568475	0.262773807547182	0.106297207167787	0	0.233422165562647	7.8339063447496	127.435272097436	56.8351437786903	196.131139514643	494.810331838441	438.880658023602	Down_hep_Up_gills
XM_027369138.1	9.59116249088069	1.65151771412581	6.61709293639487	1.48716737747236e-05	8.85908987738752e-05	3.41468031911273	17	6	8	0	2	2	21	5116	3205	6366	12287	13249	0.435249178055569	0.181303528284238	0.191108223670678	0	0.0685341350187903	0.0583555413906618	6.09303826813858	72.3594730355699	39.7201560860668	136.664933685444	408.1454449046	311.381055914892	Down_hep_Up_gills
XM_027369155.1	-8.65194505192143	2.30321585926288	-12.4234910660977	1.06029685015253e-08	3.1665839953394e-07	10.2133179735787	3487	3045	3951	1948	3509	1913	4	6	2	8	12	58	89.2772872870453	92.0115406042507	94.383573965356	103.533479781424	120.243139890468	55.817075340168	1.16057871774068	0.0848625563356957	0.0247863688524598	0.171743554741369	0.398611975165232	1.36312938660003	Up_hep_Down_gills
XM_027369178.1	9.05396883875612	1.40120912889326	8.06182928611222	1.75773869990036e-06	1.42345579389052e-05	5.45071894048018	18	16	13	0	0	2	73	1507	2807	7641	4112	5468	0.460852070882368	0.483476075424634	0.310550863464851	0	0	0.0583555413906618	21.1805615987674	21.3146453996489	34.7876686844273	164.03656272235	136.591036823286	128.510198033258	Down_hep_Up_gills
XM_027369182.1	-6.78522590212845	1.24617123043388	-12.0489774911026	1.54469017066428e-08	3.8223588078223e-07	9.83532263199892	546	601	701	1050	953	1089	0	27	10	5	11	16	13.9791794834318	18.1605700831378	16.7458580991431	55.8060337630879	32.6565153364536	31.7745922872153	0	0.381881503510631	0.123931844262299	0.107339721713355	0.365394310568129	0.37603569285518	Up_hep_Down_gills
XM_027369183.1	-6.9501899982646	0.865283345521657	-12.4398482186935	1.04324452953327e-08	3.16252796795202e-07	10.1221054897475	545	511	555	770	716	707	0	8	3	12	10	13	13.953576590605	15.4410171588742	13.2581330171533	40.9244247595978	24.5352203367269	20.6286838815989	0	0.113150075114261	0.0371795532786897	0.257615332112053	0.332176645971027	0.305529000444834	Up_hep_Down_gills
XM_027369197.1	-3.5652381460858	7.37534931615415	-8.21450031217917	1.42397349176511e-06	1.19593985990426e-05	5.50577508021632	12545	17224	11936	25705	34562	17127	157	6659	4150	1951	1017	1545	321.188290512183	520.461995194618	285.133469716651	1366.18485512398	1184.33838725972	499.727678698932	45.5527146713218	94.1832937732329	51.4317153688541	41.8839594125512	33.7823648952534	36.3109465913283	Up_hep_Down_gills
